time,hat{D_{q}},theta,e_{theta},tau_{q}
6.4,1.44547700348713,0.175277387467484,-0.000744462268051,20.4822093248367
6.5,1.1162890222292,0.175562729998871,-0.001029804799438,15.3704687952995
6.6,0.783392172000925,0.175851040514456,-0.001318115315023,18.0828958749771
6.7,0.495587270938906,0.176031837863113,-0.00149891266368,15.8025607466698
6.8,0.235416633935076,0.176187006095011,-0.001654080895578,13.4843930602074
6.9,0.056929441959222,0.176340367440534,-0.001807442241101,10.2654121816158
7,-0.164307648096262,0.176495089865829,-0.001962164666396,7.38072544336319
7.1,-0.342161772970508,0.176581536046701,-0.002048610847268,16.1581486463547
7.2,-0.493131672311158,0.176675647224045,-0.002142722024612,12.6971632242203
7.3,-0.638312793643736,0.176783354524849,-0.002250429325416,8.55683758854866
7.4,-0.61765225965954,0.176756057659441,-0.002223132460008,14.232012629509
7.5,-0.667534783557773,0.176956288940961,-0.002423363741528,16.7599946260452
7.6,-0.750142128861962,0.177250406054573,-0.00271748085514,22.8680208325386
7.7,-0.83494260205818,0.177465300022899,-0.002932374823466,23.5244452953339
7.8,-0.798152806241282,0.177645770237332,-0.003112845037899,17.7645981311798
7.9,-0.812187588992523,0.177895934257177,-0.003363009057744,13.6641204357147
8,-0.791157340069391,0.17809423387327,-0.003561308673837,18.0124923586845
8.1,-0.748865302754121,0.178263302742929,-0.003730377543496,19.8782369494438
8.2,-0.706041657868328,0.178507937278086,-0.003975012078653,13.3259236812592
8.3,-0.69256850319933,0.178761082593861,-0.004228157394428,17.4314841628075
8.4,-0.647207105791894,0.178980109041689,-0.004447183842256,15.7491594552994
8.5,-0.680922308570914,0.179174029148022,-0.004641103948589,11.9545444846153
8.6,-0.58055936578726,0.179370138444362,-0.004837213244929,8.44229683279991
8.7,-0.639889140001742,0.179535007159841,-0.005002081960409,4.39740419387817
8.8,-0.711763548399006,0.179685985502831,-0.005153060303398,-5.4290734231472
8.9,-0.573292394023088,0.179708316666797,-0.005175391467364,-4.32729721069336
9,-0.533011376713554,0.179726111646704,-0.005193186447271,-4.62582483887672
9.1,-0.594535870902484,0.179684623739279,-0.005151698539846,-2.75269001722336
9.2,-0.616061349018531,0.179520530225697,-0.004987605026264,-2.1792208775878
9.3,-0.648132496361585,0.179201332545309,-0.004668407345876,-2.32042409479618
9.4,-0.732738171111357,0.178781170091521,-0.004248244892088,-0.085180997848511
