time,desired_D_u,hat{D_{u}},desired_D_v,hat{D_{v}},desired_D_w,hat{D_{w}},desired_D_q,hat{D_{q}},desired_D_r,hat{D_{r}},desired_x,x,desired_y,y,desired_z,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
26.6,-2.02513915736058,-1.63765693988008,0.948030278824813,0.938658575391127,0.241694198784884,0.253341737489984,1.4252623393472,1.18015909232102,0.126912133561435,0.203898366155632,-7.50228328230864,-6.7951574705952,-6.61178837773808,-7.30382853043551,-11.6500000000024,-11.4865403119994,0.002828777079574,0.00013015740051,-0.005288027090775,7.25374328877134,46.5804318185905,15.0453137200451
26.7,-2.44079126928581,-2.07621195124837,0.858368467738257,0.858819239607282,0.306963205258168,0.310509791688142,1.5065282180096,1.2083831360102,-0.007501949183536,0.127135996188623,-7.60061239784145,-6.90403724591832,-6.49851453624433,-7.2016076022044,-11.6750000000024,-11.5111298206276,0.003199998687298,-0.000960505997066,-0.003557874554057,-0.899840511806286,22.822621173644,-43.8002191823382
26.8,-2.85340983204002,-2.53117202092946,0.75821162374421,0.76481470736813,0.357777775705659,0.347278980884603,1.57283995582933,1.34886521645159,-0.177546712143157,-0.119573903147089,-7.69723140764959,-7.01056740953434,-6.38377855639532,-7.09813067764605,-11.7000000000024,-11.5354919702598,0.004424855971238,-0.001686586447334,-0.002723500723976,19.2363303737813,17.5880847518864,-15.7404338001572
26.9,-3.2592779429942,-2.77725445923106,0.647882997544141,0.651071361047932,0.39419800511966,0.383456110681839,1.61983958786175,1.43321042350479,-0.380623511985654,-0.265672770396801,-7.79211857286346,-7.1157925134496,-6.26760625330247,-6.99242841471146,-11.7250000000025,-11.5599234606939,0.005004660756338,-0.001505282248272,-0.00223737853188,9.76672607359187,45.100913593257,-4.19573116575089
27,-3.65470124489307,-3.46624535350474,0.527812286816556,0.530344978045626,0.416408700881676,0.42290499157579,1.64346184837881,1.69918521261866,-0.612872173000083,-0.386687219769967,-7.88525254427119,-7.21932753527623,-6.1500237652439,-6.88502445430761,-11.7500000000025,-11.5843867085192,0.005539602822775,-0.002073380308402,-0.002335714388806,0.470459282681068,24.2244900860721,-6.11375659641503
27.1,-4.03605725509697,-3.68677142948232,0.398532765403886,0.398337623296735,0.424716057278294,0.4308153536835,1.6400188804884,1.61718039090979,-0.869277653233218,-0.584541081642773,-7.97661236712211,-7.32146239821562,-6.03105754778336,-6.77573342283829,-11.7750000000025,-11.6089318115503,0.005655151561812,-0.001864187770457,-0.002038687310749,0.341652966442923,25.5778649610723,-4.7004366226438
27.2,-4.3998434897598,-3.96600211090236,0.260677466197695,0.260663630740145,0.419543361633821,0.412168521100856,1.60627870333115,1.58762659373803,-1.14381009064129,-0.899065285606316,-8.0661774858415,-7.42173566435393,-5.91073436781791,-6.66510702410494,-11.8000000000026,-11.6334965902024,0.006035164052846,-0.001586960590494,-0.001823213388243,2.57342601246028,11.7458981698461,13.5551355776023
27.3,-4.74272367560363,-4.43559950499726,0.114974451664581,0.118682486331131,0.401425773738765,0.392034687624622,1.53953603976694,1.68136673451457,-1.42959443909423,-1.28305254354606,-8.1539277486555,-7.52049835766329,-5.78908129755541,-6.55272854292289,-11.8250000000026,-11.6582039581289,0.006086889048284,-0.000994882830038,-0.002062525078576,18.4532380691071,35.1609794568917,-25.9374976359355
27.4,-5.06157137611616,-4.85818454148969,-0.037758786194997,-0.032849739872676,0.371004227626077,0.363888013047979,1.4376742344705,1.52600347925848,-1.71910511613115,-1.54670818209146,-8.23984341212518,-7.6177126048931,-5.66612570842346,-6.43869596653866,-11.8500000000026,-11.6830485628514,0.005874906436329,-0.001699744221404,-0.003047551666976,12.2406996143123,14.4854000217753,-1.49153576732184
27.5,-5.35351040309485,-5.05933653800192,-0.196621747189357,-0.197766724667462,0.329018511697327,0.322824535540453,1.29921714104898,1.48389033504729,-2.00438041620556,-1.78014866657363,-8.3239051455887,-7.7131706446791,-5.5418952649109,-6.3233855832722,-11.8750000000027,-11.7078610980779,0.005812686751545,-0.001958545332075,-0.004688898308851,25.9715129086226,21.562938471353,-15.0822825019826
