time,desired_D_w,hat{D_{w}},desired_D_q,hat{D_{q}},desired_theta,theta,e_{theta},tau_{q}
9.7,0.328692317434638,0.327237836567125,-0.944077512294718,-0.909341140996594,0.174532925199433,0.175703194595142,-0.001170269395709,20.3449107849709
9.8,0.361471838337264,0.368226718547165,-1.01898781870596,-0.9970974568717,0.174532925199433,0.175689811001825,-0.001156885802392,21.592671835839
9.9,0.399248218044903,0.409079593594833,-1.09490461247661,-1.08230970926122,0.174532925199433,0.175751056476075,-0.001218131276642,22.2770076257689
10,0.441392692981841,0.441327266115307,-1.16989768588011,-1.13575843986766,0.174532925199433,0.175732453081285,-0.001199527881852,21.5108135145594
10.1,0.487212865576892,0.403853832856911,-1.24202892565869,-1.61287780714517,0.349065850398866,0.187397654640415,0.161668195758451,101.573753318315
10.2,0.535960365708784,0.498153071840807,-1.30940244620891,-1.36093188389762,0.349065850398866,0.209438150547766,0.139627699851099,100.513490925875
10.3,0.586839050095198,0.577929115800311,-1.3702130854964,-1.34176384911798,0.349065850398866,0.232967465196654,0.116098385202212,101.341763849118
10.4,0.639013664960482,0.633127792996809,-1.42279223873864,-1.38777032978335,0.349065850398866,0.256214260247891,0.092851590150975,101.387770329783
10.5,0.691618893324219,0.68351050398392,-1.46565006821122,-1.42876378504928,0.349065850398866,0.278875925261026,0.07018992513784,101.146577515289
10.6,0.743768704927603,0.74177668753374,-1.49751320905657,-1.46540445557691,0.349065850398866,0.300900419934694,0.048165430464172,101.465404455577
10.7,0.794565924184453,0.802150504491393,-1.51735718906816,-1.52246172859626,0.349065850398866,0.322233999666732,0.026831850732134,97.0873814387556
10.8,0.843111929630607,0.892769938648569,-1.5244328931525,-1.66528930521238,0.349065850398866,0.340128842970864,0.008937007428002,51.9189785943054
10.9,0.888516397165322,0.960738577929682,-1.51828652834401,-1.4541321388715,0.349065850398866,0.348181899518066,0.0008839508808,32.4750238052839
11,0.929906998940959,0.972199884426732,-1.49877268044906,-1.387930211148,0.349065850398866,0.349026415708096,3.94346907698906E-05,37.155130800328
11.1,0.966438970066535,0.975853628237634,-1.46606019603818,-1.46616702432225,0.349065850398866,0.347930060016653,0.001135790382213,40.1176751172025
11.2,0.997304456344163,0.987466878882058,-1.42063077087077,-1.46359058565938,0.349065850398866,0.347199671562651,0.001866178836215,40.1158705586895
11.3,1.02174155804649,1.01491416795524,-1.36327027513074,-1.40846587218038,0.349065850398866,0.34703110851134,0.002034741887526,43.9583710531115
11.4,1.03904298725335,1.04245767880942,-1.295052994249,-1.32176615651963,0.349065850398866,0.347105789537145,0.001960060861721,39.8480985349071
11.5,1.04856425947636,1.05967977169884,-1.21731910878942,-1.2124067549029,0.349065850398866,0.347202349186218,0.001863501212648,38.241688013486
11.6,1.04973134418486,1.05443217133277,-1.13164587515062,-1.14118442876447,0.349065850398866,0.347183715562312,0.001882134836554,41.7239247356187
11.7,1.04204770337344,1.03765768677804,-1.03981309808249,-1.04034170798411,0.349065850398866,0.347169263711336,0.001896586687529,41.3456045120155
11.8,1.0251006524428,1.01543719062319,-0.94376360379687,-0.969829190189387,0.349065850398866,0.347172341048599,0.001893509350267,41.6168382052727
11.9,0.998566983360347,0.991990836469071,-0.84555952654552,-0.938738901713483,0.349065850398866,0.347110996800621,0.001954853598245,37.3119756771117
12,0.962217796276966,0.963973989100799,-0.747335309974818,-0.792458379549829,0.349065850398866,0.34711151738409,0.001954333014776,38.7280372026394
12.1,0.915922492451152,0.926654974779137,-0.651248395666154,-0.693495422692882,0.349065850398866,0.347087199075586,0.00197865132328,35.8425869048554
12.2,0.859651888416063,0.86603420996068,-0.559428623671273,-0.578843659228481,0.349065850398866,0.347023831027805,0.002042019371061,40.4775998056595
12.3,0.793480418760424,0.791947295121804,-0.473927402534895,-0.525707178068339,0.349065850398866,0.347061327688542,0.002004522710323,42.1217085647108
12.4,0.717587402619307,0.709858971108009,-0.39666771860614,-0.431623554906246,0.349065850398866,0.34711711482281,0.001948735576055,39.2529184586614
12.5,0.632257356921834,0.623534390485014,-0.329396046092641,-0.3437737308645,0.349065850398866,0.347167435560637,0.001898414838229,40.8656636558676
12.6,0.537879347553894,0.534023397610592,-0.273637190403019,-0.354754016996902,0.349065850398866,0.347158703832492,0.001907146566374,40.8548554641023
12.7,0.434945377798196,0.43566590758335,-0.230653048328277,-0.249749753081381,0.349065850398866,0.347161462892959,0.001904387505907,40.6475308867331
12.8,0.324047821643135,0.328297450860246,-0.20140620037383,-0.22251743056851,0.349065850398866,0.34722617040941,0.001839679989456,40.8332123158224
12.9,0.205875917738153,0.210772430203765,-0.186529164269152,-0.174535355071237,0.349065850398866,0.347213538691801,0.001852311707064,40.0957892746727
13,0.081211347848282,0.08692724359368,-0.186300035882912,-0.171881362056622,0.349065850398866,0.347203537689975,0.001862312708891,40.4851252280234
13.1,-0.049077068442411,-0.045440486274443,-0.200625126295959,-0.174232947111889,0.349065850398866,0.347201004982017,0.001864845416849,42.9622586839207
13.2,-0.184039523375608,-0.180461746486569,-0.229029073745003,-0.203869028535009,0.349065850398866,0.347202473343674,0.001863377055192,37.5474306778575
13.3,-0.32265216826328,-0.324760875933866,-0.270652768895142,-0.25833919592642,0.349065850398866,0.347132628683567,0.001933221715299,37.540579586704
13.4,-0.463824804606705,-0.469387433021429,-0.324259283973714,-0.258518223736023,0.349065850398866,0.347156083763996,0.00190976663487,36.5711132335398
13.5,-0.606409258815177,-0.61210705121842,-0.388247843395124,-0.353881425296127,0.349065850398866,0.347140897837344,0.001924952561522,34.5897403425325
13.6,-0.749208374182132,-0.754729534471244,-0.460675718422718,-0.41889985634404,0.349065850398866,0.34720408199958,0.001861768399286,39.6126612050684
13.7,-0.890985548242131,-0.895690254025687,-0.539287773996935,-0.531745332577844,0.349065850398866,0.347260952751782,0.001804897647084,41.4248470247776
13.8,-1.03047473867771,-1.03380978954374,-0.621553244959627,-0.559466081254156,0.349065850398866,0.347201658734861,0.001864191664005,36.7014070326015
13.9,-1.16639085661249,-1.16917588553891,-0.704709174320959,-0.675696068254956,0.349065850398866,0.347021081225636,0.00204476917323,40.2815400890985
14,-1.29744046245343,-1.30109104441491,-0.785809810650003,-0.772744773652343,0.349065850398866,0.346834558426729,0.002231291972136,39.4414249646924
14.1,-1.4223326764617,-1.42626110330491,-0.861781137672318,-0.868494407530409,0.349065850398866,0.346727372091214,0.002338478307652,43.7486927670198
14.2,-1.53979021396533,-1.54321777754885,-0.929479599087701,-0.939902935634374,0.349065850398866,0.346611925693411,0.002453924705455,43.8635590416296
14.3,-1.64856045359697,-1.65438907049112,-0.985753987596071,-0.989375201117325,0.349065850398866,0.346559164113662,0.002506686285204,40.5335790785664
14.4,-1.74742644616108,-1.75519229155421,-1.02750939098652,-0.981840604118326,0.349065850398866,0.346436251368327,0.002629599030539,39.0120984252014
14.5,-1.83521777171559,-1.84472935967957,-1.05177203143523,-1.07567336448169,0.349065850398866,0.346373566693801,0.002692283705065,42.3286410797451
14.6,-1.91082115319405,-1.91920462035787,-1.05575379807127,-1.05996761954023,0.349065850398866,0.346290670672646,0.00277517972622,42.4829516235609
14.7,-1.97319073639267,-1.97567180209719,-1.03691525823726,-1.01561570415829,0.349065850398866,0.346243409777733,0.002822440621133,42.9803195024524
14.8,-2.02135794839088,-2.01397607808758,-0.993025940153991,-1.04433103210538,0.349065850398866,0.346238627728112,0.002827222670754,38.0379627526483
14.9,-2.05444084944797,-2.04359047701096,-0.92222070896224,-0.959593263347894,0.349065850398866,0.346195390865071,0.002870459533795,39.4118936926921
15,-2.07165289709986,-2.06622996444157,-0.823051109041241,-0.842794456537566,0.349065850398866,0.346173510851127,0.002892339547739,39.0852388525565
15.1,-2.07231104553951,-2.07740340382408,-0.694530617383272,-0.789145375367877,0.349065850398866,0.346144970850282,0.002920879548584,40.2421481858461
15.2,-2.05584310836978,-2.06722595847256,-0.536172844553001,-0.587468986997018,0.349065850398866,0.346092309123848,0.002973541275017,38.7357320838064
15.3,-2.02179431842753,-2.02810447991046,-0.348021829935515,-0.415706729992781,0.349065850398866,0.346135434022419,0.002930416376447,41.9146836758699
15.4,-1.96983302455008,-1.96827199427619,-0.13067370479838,-0.218415188332161,0.349065850398866,0.346211585908046,0.00285426449082,34.4381242270666
15.5,-1.89975547183911,-1.89299410560789,0.114710861924714,-0.013106431890379,0.349065850398866,0.346223995380487,0.002841855018379,35.7533061169871
15.6,-1.81148961912144,-1.80317853415309,0.386403866635524,0.248132484444994,0.349065850398866,0.346245723115785,0.00282012728308,36.6930411882311
15.7,-1.70509795485228,-1.69696682351909,0.682117091164653,0.541710417711618,0.349065850398866,0.346318186470584,0.002747663928281,42.422953683889
15.8,-1.58077928059574,-1.57383801622438,0.999019238224903,0.845315634747272,0.349065850398866,0.346419070775512,0.002646779623354,39.9097744827073
15.9,-1.43886943938498,-1.43330903530474,1.33376300653296,1.1795842779212,0.349065850398866,0.346480568792886,0.00258528160598,38.2751649486489
16,-1.2798409746464,-1.28221014574479,1.68252185503351,1.53985663478869,0.349065850398866,0.346649680355068,0.002416170043797,37.4841685670088
16.1,-1.1043017138996,-1.10336002039057,2.04103603291683,1.89160090172724,0.349065850398866,0.346802473308836,0.00226337709003,34.0359033993439
16.2,-0.912992280052645,-0.913046267125451,2.40466728453527,2.24299406080927,0.349065850398866,0.346937142051367,0.002128708347499,33.9131178948334
16.3,-0.706782541721244,-0.706851217208883,2.76846147887672,2.58680403647603,0.349065850398866,0.347131640648125,0.001934209750741,36.1574220615846
16.4,-0.486667022559203,-0.485348177448623,3.12721826475396,2.98553699377523,0.349065850398866,0.347193169938296,0.00187268046057,35.4723275291587
16.5,-0.253759298005382,-0.2544349562132,3.47556671803754,3.31947146119891,0.349065850398866,0.347094083602134,0.001971766796732,35.6633877926845
16.6,-0.009285416077495,-0.009969046556953,3.80804582852157,3.65575202366541,0.349065850398866,0.347107409328258,0.001958441070608,35.5245833788233
16.7,0.245423613198986,0.245254074100973,4.1191885735833,3.99975439416036,0.349065850398866,0.347149622396594,0.001916228002272,32.8352991689576
16.8,0.508940207510644,0.508595499011782,4.4036082455751,4.26224112295234,0.349065850398866,0.347153737860459,0.001912112538407,33.1578171274749
16.9,0.779749421672694,0.779023358436888,4.65608564143865,4.52911460977488,0.349065850398866,0.347127117678394,0.001938732720472,33.3016434850127
17,1.05625891050598,1.05531953650657,4.87165568755931,4.79642333910122,0.349065850398866,0.347051185968186,0.00201466443068,34.1340642936502
17.1,1.33680957266052,1.33561577768628,5.0456920612041,4.98645325434767,0.349065850398866,0.347073108328999,0.001992742069867,34.5836726831142
17.2,1.61968679715245,1.6179944240753,5.17398838242446,5.11075668952277,0.349065850398866,0.347155993228209,0.001909857170657,31.8331885991354
17.3,1.90313222926766,1.90214477403028,5.25283458706299,5.16552119126139,0.349065850398866,0.347330849364854,0.001735001034012,34.5810464156646
17.4,2.18535596801926,2.1850797122203,5.27908715207207,5.25978180430218,0.349065850398866,0.347387800037213,0.001678050361653,30.6297811601372
17.5,2.46454910356522,2.46348075059963,5.25023192791647,5.2084819816203,0.349065850398866,0.347455070840841,0.001610779558025,34.5913751579671
17.6,2.73889649992807,2.73791866398426,5.16443843817681,5.21716747455712,0.349065850398866,0.347576411810562,0.001489438588304,32.8937503320682
17.7,3.00658972603665,3.00480663940159,5.02060463200369,5.1466689499427,0.349065850398866,0.347817831029532,0.001248019369334,31.4678444472741
17.8,3.26584003655106,3.2664632563261,4.81839121884736,4.94687232078989,0.349065850398866,0.34813917690884,0.000926673490026,35.6492998927645
17.9,3.51489130314926,3.51453081796066,4.55824487463505,4.65120500269518,0.349065850398866,0.348180898241862,0.000884952157004,36.8016737109126
18,3.75203279695587,3.75280318245154,4.2414097817336,4.42196732824007,0.349065850398866,0.348165065361812,0.000900785037054,28.7389635437234
18.1,3.97561172358126,3.97683996578383,3.86992714882046,4.1038748801199,0.349065850398866,0.347865717073594,0.001200133325272,40.9180703579935
18.2,4.1840454138079,4.18421389932136,3.44662254819417,3.73501399688982,0.349065850398866,0.347548389291271,0.001517461107595,34.5751114732716
18.3,4.37583307529973,4.37643567428631,2.97508110394414,3.27997488632496,0.349065850398866,0.347366653237853,0.001699197161013,42.2022672210664
18.4,4.54956701380115,4.54768250965573,2.45961076152772,2.76659647540524,0.349065850398866,0.347299365260448,0.001766485138418,35.5261333791785
18.5,4.70394323611325,4.70517078121445,1.90519406439109,2.20094401085714,0.349065850398866,0.347477336307941,0.001588514090925,35.2038703516688
18.6,4.83777135165537,4.83873095583594,1.31742905305333,1.71060549651609,0.349065850398866,0.347454875496182,0.001610974902684,31.448447829137
18.7,4.94998369460575,4.95558208569494,0.702460083352854,1.09319954935918,0.349065850398866,0.347360189987404,0.001705660411462,47.4642220156967
18.8,5.03964359442651,5.02937143003389,0.06689953026112,0.521917254512982,0.349065850398866,0.347319380613549,0.001746469785317,44.934021323139
18.9,5.10595272896849,5.10125077129278,-0.582258501098616,-0.191281323476576,0.349065850398866,0.347521058723507,0.001544791675358,36.8754814911325
19,5.14825750127256,5.1560492866198,-1.23773119749745,-0.801767070037765,0.349065850398866,0.347645461081696,0.00142038931717,39.668421108467
19.1,5.16605438858031,5.17406601299702,-1.89204541443134,-1.57788091215362,0.349065850398866,0.347717336013073,0.001348514385793,38.2006257108139
19.2,5.15899421988118,5.15508118056468,-2.53763993252987,-2.17756242018795,0.349065850398866,0.347638223461646,0.001427626937219,48.1300404713736
19.3,5.12688534649351,5.11905167219359,-3.16697004477264,-2.8587002719762,0.349065850398866,0.347674459538692,0.001391390860174,36.0399026836278
19.4,5.06969567863918,5.07418602413301,-3.77261287689275,-3.45346612790309,0.349065850398866,0.34752599064035,0.001539859758516,38.859596680195
19.5,4.98755356965897,4.99336209850939,-4.34737182016088,-4.04971996636815,0.349065850398866,0.347500480761597,0.001565369637269,33.6899475225968
19.6,4.88074753835997,4.88416400282222,-4.88437845874753,-4.556837792405,0.349065850398866,0.347448955125734,0.001616895273132,49.1753460121239
19.7,4.74972482891695,4.74733930677618,-5.3771904031475,-5.11165441329913,0.349065850398866,0.347479602021135,0.001586248377731,42.4952227001949
19.8,4.59508881669675,4.59075001276519,-5.81988349637607,-5.54720477796303,0.349065850398866,0.347556471789962,0.001509378608904,46.3465304825376
19.9,4.41759527726684,4.4164965410358,-6.20713694003229,-5.96850335984108,0.349065850398866,0.347563948715106,0.00150190168376,43.1812357941138
20,4.2181475446168,4.21830969936354,-6.53430999167455,-6.3681818125938,0.261799387799149,0.347596279086233,-0.085796891287084,42.3175520776008
20.1,3.99779059319361,4.0902594939716,-6.79750901166293,-6.29882521155795,0.261799387799149,0.335270649733005,-0.073471261933856,-37.6532911586432
20.2,3.75770408666272,3.80921638051363,-6.99364378471416,-6.83803968275737,0.261799387799149,0.312047765518216,-0.050248377719066,-36.9281012550478
20.3,3.49919444428823,3.50536102915212,-7.12047220656072,-6.95077005319844,0.261799387799149,0.287483527966618,-0.025684140167469,-29.3450253874754
20.4,3.22368598341645,3.17431222552773,-7.17663260667143,-6.97630192809666,0.261799387799149,0.26844165180203,-0.00664226400288,31.5813108878669
20.5,2.93271120368562,2.86647332111807,-7.16166317107647,-7.27726227437594,0.261799387799149,0.26081310613401,0.00098628166514,41.3254798093949
20.6,2.62790028521471,2.59145517320194,-7.07600813182567,-7.27261239787019,0.261799387799149,0.260323834466354,0.001475553332795,38.2997744729129
20.7,2.31096987909401,2.30007908239605,-6.9210105982097,-7.01548828507503,0.261799387799149,0.261248379734485,0.000551008064665,36.9855649652584
20.8,1.98371127395985,1.98395924477948,-6.69889211619035,-6.79802466827178,0.261799387799149,0.261674480628153,0.000124907170996,37.8434257646158
20.9,1.64797802724406,1.64956089773718,-6.41271925306409,-6.57216920834676,0.261799387799149,0.261757642944712,4.17448544369758E-05,38.550537967502
21,1.30567315380577,1.30838141314074,-6.06635771076684,-6.27823480864728,0.261799387799149,0.26175688474754,4.25030516090219E-05,33.6364150931474
21.1,0.958735968047347,0.961152718633362,-5.66441467002395,-5.82267279130615,0.261799387799149,0.261565042670982,0.000234345128167,33.2410180042426
21.2,0.609128678260357,0.610878917817187,-5.21217025547482,-5.42542486666683,0.261799387799149,0.261481347818789,0.000318039980361,36.6121306943798
21.3,0.258822833820598,0.260258538295396,-4.7154991858486,-4.93385370386265,0.261799387799149,0.261527807580594,0.000271580218555,37.3183655322852
21.4,-0.09021427306131,-0.08772039638041,-4.18078383034666,-4.39736528102249,0.261799387799149,0.261583497296819,0.00021589050233,29.9941985100874
21.5,-0.436033149033994,-0.433522522905733,-3.61482002998341,-3.89232917371439,0.261799387799149,0.261550366981861,0.000249020817289,34.4138710075919
21.6,-0.776715483247396,-0.775140470543636,-3.02471715844848,-3.28485074711909,0.261799387799149,0.261574615808236,0.000224771990913,31.8563491411315
21.7,-1.11038727274157,-1.1084538564227,-2.41779398913359,-2.71386266583249,0.261799387799149,0.261678896410557,0.000120491388593,32.3016619765167
21.8,-1.4352315914581,-1.43205011058993,-1.80147200175837,-2.06473595157594,0.261799387799149,0.261534446739192,0.000264941059957,29.4471276427838
21.9,-1.74950090759216,-1.7471989842144,-1.18316780238716,-1.5185320233867,0.261799387799149,0.26117823915879,0.000621148640359,27.9729509210155
22,-2.05152885758819,-2.05059021487387,-0.570186343844032,-0.831447020953748,0.261799387799149,0.260883312593226,0.000916075205924,31.3618639864384
22.1,-2.33974138937992,-2.33907953786568,0.03038338065497,-0.237865351554896,0.261799387799149,0.260715869207889,0.00108351859126,28.1997125376435
22.2,-2.61266719245358,-2.61379054124586,0.611768539234187,0.317780182685924,0.261799387799149,0.260805941120824,0.000993446678326,27.3183544417953
22.3,-2.86894733793009,-2.86808397351012,1.16760699500845,0.833719535249916,0.261799387799149,0.260941761504925,0.000857626294224,30.5888329311426
22.4,-3.10734405807402,-3.10620835319955,1.69203470166239,1.4235283994942,0.261799387799149,0.260882706062696,0.000916681736454,29.4546667670936
22.5,-3.32674860139438,-3.32685078128578,2.17976460840969,1.93432042004046,0.261799387799149,0.260851431762322,0.000947956036828,25.3898524343831
22.6,-3.52618810675093,-3.52679031385822,2.62615586129633,2.42267187711128,0.261799387799149,0.260745130746458,0.001054257052692,21.3366291296827
22.7,-3.70483144756185,-3.70570273574808,3.02727224712467,2.82124790682518,0.261799387799149,0.260659109900438,0.001140277898711,26.2771615074662
22.8,-3.86199400526347,-3.86287833440726,3.37992900278109,3.17251097458504,0.261799387799149,0.260677634132786,0.001121753666364,24.7350930045257
22.9,-3.9971413395357,-3.99724859869744,3.68172730355344,3.53160894274798,0.261799387799149,0.260683609611605,0.001115778187545,27.7607490980616
23,-4.109891731412,-4.10871043951453,3.93107594599119,3.8258836445001,0.261799387799149,0.260695654416791,0.001103733382358,24.0033074441763
23.1,-4.20001758417087,-4.20669380766811,4.12719995066347,4.01818896886505,0.261799387799149,0.260583080316635,0.001216307482515,22.164557918342
23.2,-4.26744567578836,-4.25874380659515,4.27013602435211,4.28461063277598,0.261799387799149,0.260523430886069,0.001275956913081,27.4042077027572
23.3,-4.31225626564607,-4.30261464260849,4.3607150362392,4.3095065103269,0.261799387799149,0.260547827285984,0.001251560513165,22.705812956264
23.4,-4.33468106706756,-4.32949210104943,4.40053187495993,4.3670729832847,0.261799387799149,0.260545930931844,0.001253456867306,22.1012665791314
23.5,-4.33510010602552,-4.33827875366186,4.39190325947789,4.38005623251392,0.261799387799149,0.26043684670188,0.00136254109727,27.3007631596904
23.6,-4.31403749495544,-4.32530669706189,4.33781427318836,4.35383295939294,0.261799387799149,0.260465115543023,0.001334272256127,23.7826081521717
23.7,-4.2721561589585,-4.27617559816438,4.24185457420937,4.31323039163823,0.261799387799149,0.260429003174887,0.001370384624263,27.5648863352371
23.8,-4.21025155971307,-4.20898267605918,4.10814540243497,4.21336605049558,0.261799387799149,0.260466091555869,0.00133329624328,23.7042395880084
23.9,-4.12924447007588,-4.12684375486839,3.94125865281733,4.04626259844533,0.261799387799149,0.260517267027739,0.001282120771411,34.05404558141
24,-4.03017285958058,-4.02728326805111,3.74612941203937,3.80160752685426,0.261799387799149,0.260514247003955,0.001285140795194,23.1517499312604
24.1,-3.91418295777685,-3.90999910613022,3.52796346011386,3.62303286883893,0.261799387799149,0.260493698523911,0.001305689275238,24.3911680569881
24.2,-3.78251956854352,-3.77788468523031,3.29214131776147,3.49027649338145,0.261799387799149,0.260471314030763,0.001328073768387,22.6065920216332
24.3,-3.63651571410711,-3.63645754248495,3.04412047335584,3.12880773465025,0.261799387799149,0.26047523936657,0.001324148432579,29.0252844579996
