time,x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
17.6,15.0045594826032,31.2839462551559,-10.3085132577663,0.173290710298261,-0.013904332284125,0.043193919350813,36.3481042436295,38.2402885474488,22.2737869705164
17.7,15.1224922223737,31.4894581023853,-10.3895983377477,0.172864455489779,-0.01524661817719,0.045034558526037,4.1731553919595,20.4345100101372,-1.78093486008425
17.8,15.2410475689318,31.6956143459268,-10.4711218650218,0.171495362315461,-0.015455604970562,0.046893317772251,59.3052253275873,32.8300348594326,2.81535580849527
17.9,15.3603751752361,31.9025089172193,-10.5533824049492,0.168937616845176,-0.014547660413329,0.048101342145155,53.1773729995334,85.2916209613376,-22.3454008189973
18,15.4806952569326,32.1106857182439,-10.6368467452574,0.164478582538979,-0.012665247989211,0.050421904806027,44.5459723360286,10.693557324962,-2.5993240482808
18.1,15.6014802564862,32.3190996186473,-10.7212401555335,0.159308476069484,-0.011295361214316,0.052228665442931,33.1816549825527,33.4058494416965,-7.93930328927947
18.2,15.7228550686865,32.527977551797,-10.8066097424865,0.153165565737876,-0.009676415133174,0.053800261950153,76.1008186262139,28.0771535508458,21.4640364419159
18.3,15.8449325573628,32.7377553740077,-10.8931031587515,0.145583888167552,-0.007871608743611,0.055643604848796,22.2923079739907,44.6312045667552,5.77717651626852
18.4,15.9670732612212,32.9473307723581,-10.9801329480277,0.137959338578594,-0.007467113565552,0.056286524889805,14.4578235688976,24.9204917917809,2.31128754149189
18.5,16.0890672309154,33.1565988191023,-11.0674167076987,0.130566026962438,-0.006688993522309,0.055685232655094,32.5118437143588,68.8110200548981,-12.4375142884557
18.6,16.2097611102081,33.3642242872593,-11.1542232316489,0.125260497950145,-0.005838663180603,0.054480565454741,33.8836512961223,48.583940826981,0.977812055406422
18.7,16.3299852007139,33.5720414634554,-11.2412426972586,0.11991556188506,-0.005846042745277,0.053355778872456,52.6078844287937,35.9271606699361,-21.1212211230822
18.8,16.4493123163695,33.779345845933,-11.3280474490072,0.115449698838927,-0.00515187376806,0.051571142260939,41.1150941244541,95.6505780498149,19.9717607968472
18.9,16.5669638496726,33.9848662425586,-11.4141281694859,0.113432047230284,-0.004183964838102,0.049911549839825,7.11234644510915,57.6512044695687,-0.325368909160385
19,16.6834308008545,34.1894549541384,-11.4999259049317,0.112789103168949,-0.002674101051231,0.048806361773421,48.9880011705964,44.0490973997865,-6.78101111931002
19.1,16.7993226456632,34.3938564818509,-11.5858939702564,0.112484319814287,-0.000734515591278,0.047066538126082,4.34010407704407,62.3532652648641,-9.20767306357134
