time,hat{D_{v}},hat{D_{r}},psi,e_{psi},tau_{r}
11.5,4.97221888889012,-0.560531771174344,2.08924184425633,0.005153258136869,-3.76623011530313
11.6,5.14775422239613,-1.04292885344358,2.09325047262647,0.001144629766723,1.24862206112476
11.7,5.29275912706177,-1.49199906270797,2.09491701902043,-0.000521916627231,2.34172902535493
11.8,5.40922433431507,-2.03662583936182,2.09565505603888,-0.001259953645687,-2.45008026849302
11.9,5.49615811093804,-2.59227982240356,2.0958608427352,-0.001465740342007,6.54957822042145
12,5.55279963771901,-3.09105353102046,2.09604080647989,-0.001645704086692,4.62977574810344
12.1,5.58716028546801,-3.60663163812325,2.09628746847793,-0.001892366084735,0.22163096220658
12.2,5.58711868261863,-4.06141098440107,2.0964977668566,-0.002102664463401,-0.702177324886951
12.3,5.56287835110381,-4.45841886789732,2.09647373950157,-0.002078637108375,-3.79142201750346
12.4,5.51399031253212,-4.90666378022314,2.09665756972445,-0.002262467331252,7.78925094486357
12.5,5.43688765125472,-5.2117389885738,2.09673924507153,-0.002344142678337,0.127058967764631
12.6,5.32059856883218,-5.45535366463582,2.09670412345133,-0.002309021058132,-2.92205829691966
12.7,5.18345577030365,-5.61722135167608,2.09640478963422,-0.002009687241023,10.1873501203586
12.8,5.01838481935827,-5.68867362953322,2.0961913908002,-0.001796288407006,7.29725696064132
12.9,4.82258386587157,-5.69643550431536,2.09625134616336,-0.001856243770161,0.920356296656591
13,4.59658177146753,-5.6018391767832,2.09639011468598,-0.001995012292789,5.27176541782343
13.1,4.34658101520696,-5.44503914882559,2.0963504388859,-0.0019553364927,8.72095177640337
13.2,4.07050924170678,-5.14636301522157,2.0963045545897,-0.0019094521965,5.62816314485869
13.3,3.77112117158452,-4.83629512595356,2.09653398020123,-0.002138877808038,4.84352789348335
13.4,3.44585824946901,-4.32693013195294,2.09686651198808,-0.002471409594886,2.29262733105915
13.5,3.09984379105485,-3.88829491673046,2.09718601805482,-0.002790915661624,1.33918195603424
13.6,2.7345761015807,-3.30207048520552,2.09748322763454,-0.003088125241348,3.01300546690928
13.7,2.34916879621091,-2.63845120751803,2.09772423269488,-0.003329130301688,1.92816719607954
13.8,1.94841811871124,-2.00697321434046,2.09806098964781,-0.003665887254613,-0.730569586264842
13.9,1.53327388530665,-1.35524642852162,2.09789083567,-0.003495733276806,1.03699357447242
14,1.1087619432368,-0.605124124439017,2.09785726103204,-0.003462158638844,-0.046739744840606
