time,x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
22.3,-0.60516548381928,-9.98046136750216,-10.3391376729737,0.045360717934186,0.039422993218614,-0.024671004660844,36.0817366774406,2.5087127261311,6.81807617406877
22.4,-0.753960723428787,-9.96956878827723,-10.3612014389645,0.046523569282306,0.039130727784362,-0.024302293481192,36.069470253481,2.32883729344667,6.76406625703637
22.5,-0.902524366634034,-9.95654982602555,-10.3833996990139,0.047723671281475,0.038821082881536,-0.023755339596235,36.0608233104211,2.15087416532214,6.71528843380493
22.6,-1.05082364183771,-9.94140863907349,-10.4057466540131,0.048961587948375,0.038504502941809,-0.023061340439076,36.0553935256618,1.97625273958835,6.6722551537554
22.7,-1.1988263490268,-9.92414842589603,-10.4282533565861,0.050237595504814,0.038190026517587,-0.022247931166718,36.0527775260422,1.80670410522907,6.63526095451989
22.8,-1.34650079022067,-9.90477160826504,-10.4509279600683,0.05155168371267,0.037885287022916,-0.021340265298478,36.0525829060953,1.64389179386889,6.60440707526626
22.9,-1.49381570880804,-9.88328001914674,-10.4737759471944,0.052903565738636,0.037596545723778,-0.020361413777063,36.0544343600956,1.48926652860663,6.57962777588465
23,-1.64074023579935,-9.85967509020046,-10.4968003542186,0.054292692620846,0.037328751540548,-0.019332509843574,36.0579781286539,1.34401924419419,6.56071686468498
23.1,-1.78725342514054,-9.83395537189058,-10.5199390265993,0.055718271197049,0.037085621742999,-0.018272814550855,36.0645112020651,1.23754517594007,6.5473535405866
23.2,-1.93332482779682,-9.80612179452015,-10.5431938569312,0.05718051535029,0.036869635061426,-0.017243509517891,36.0718892967587,1.10995530285554,6.53902858016964
23.3,-2.07892359594396,-9.77617561638182,-10.5665687979234,0.058677995175243,0.036682212398821,-0.016204102552597,36.0797493882662,0.977372202346518,6.53540980749956
23.4,-2.22401876655944,-9.74411848683572,-10.5900676827508,0.060209052078254,0.036524098391363,-0.015144639731077,36.0878957631375,0.847206004287698,6.53600001091628
23.5,-2.36857942058118,-9.70995253453277,-10.6136933554786,0.061771919136161,0.036395277807067,-0.014067877156733,36.0961800930874,0.723021196727221,6.54024986575612
23.6,-2.51257477371985,-9.67368045817265,-10.6374473678293,0.063364756331727,0.036295044483716,-0.012981550416875,36.104470421422,0.606620835714852,6.54759378564999
23.7,-2.65597423084927,-9.63530560979362,-10.6613299219644,0.064985663943292,0.036222104133551,-0.011895008990363,36.112647022974,0.498953374603324,6.55746778929664
23.8,-2.79874742086732,-9.59483206591702,-10.6853399197348,0.066632693300674,0.036174681991136,-0.010817756301169,36.1206049712395,0.400515464466653,6.56932227641357
23.9,-2.94086422068792,-9.55226468449766,-10.7094750568967,0.0683038596589,0.036150627406784,-0.009758829490031,36.1282571359593,0.311537169601577,6.58263239536466
24,-3.08229477270298,-9.50760914707929,-10.7337319348064,0.069997157397694,0.036147512656631,-0.00872655271363,36.1355359854386,0.232072387297819,6.59690652638382
24.1,-3.22300949782311,-9.46087198641743,-10.7581061770932,0.071710576568555,0.036162724638733,-0.007728458014892,36.1423940543736,0.162047376843252,6.61169300376394
24.2,-3.36297910507026,-9.4120606003744,-10.7825925455097,0.073442119712699,0.036193548611321,-0.006771281607677,31.9190426742264,4.08103223248758,8.30126812762623
24.3,-3.50138521407074,-9.36156367081139,-10.8070287341626,0.075189818076321,0.036237243386984,-0.005860993635515,32.7822620251886,2.77412729359505,7.35643084297438
24.4,-3.63843853647833,-9.30939480000912,-10.8316664205854,0.077841625998046,0.035027470112732,-0.002049496760962,33.4118204149872,1.85153772190278,6.90684719416481
24.5,-3.77426972417315,-9.25553429348009,-10.8566453219407,0.081138499223161,0.033463270092877,0.003343332123535,33.8905742041656,1.13836050435025,6.6568026516334
24.6,-3.90896424685897,-9.19995565709034,-10.8820414745789,0.084903174104072,0.031867229207435,0.009563156282182,34.2652201336195,0.546237540835429,6.49032862626335
24.7,-4.04257952600714,-9.14263347390329,-10.9078922121284,0.089008554410278,0.030353383098149,0.016156413460206,34.564663915174,0.032166802387061,6.36721532092349
24.8,-4.17515402959513,-9.08354501838761,-10.9342094125253,0.093360328874978,0.028964254264336,0.022831265627613,34.80805200115,-0.423815439412556,6.27305877674696
