time,desired D_u,hat{D_{u}},desire_u,u,e_{u},tau_{u}
4.7,3.62723198724296,3.5743534164838,1.5,1.50252149911027,-0.002521499110265,7.60028068252285
4.8,3.8229017711927,3.77223651604153,1.5,1.50255844794054,-0.002558447940541,6.90723199649356
4.9,3.95637993286091,3.931786516245,1.5,1.50265191693205,-0.002651916932054,7.02578758305729
5,4.03065421411301,4.01491533906392,1.5,1.50242220052627,-0.002422200526268,6.96785662381716
5.1,4.04946281880457,4.0458734186046,1.5,1.50248486149558,-0.00248486149558,7.15060503765418
5.2,4.01722199190988,4.02319141658732,1.5,1.50242848095957,-0.00242848095957,7.27628014055303
5.3,3.93894507360454,3.95606107828758,1.5,1.50237409905007,-0.002374099050072,6.81800298573829
5.4,3.82015424070865,3.86131057498336,1.5,1.50227450621263,-0.002274506212626,7.12543701770424
5.5,3.66678624156283,3.70129823308109,1.5,1.50224920939205,-0.00224920939205,7.54561692852856
5.6,3.48509350558069,3.52760002749119,1.5,1.50219487213531,-0.002194872135308,7.60802432162609
5.7,3.28154206442285,3.33560032357007,1.5,1.50220079385828,-0.002200793858278,7.81957434903354
5.8,3.06270775726339,3.10928754786825,1.5,1.50203171618489,-0.002031716184886,7.95372865815782
5.9,2.83517220754725,2.88450774093079,1.5,1.5020506729776,-0.002050672977603,8.01560077528549
6,2.60542005282768,2.65690741906102,1.5,1.50209925528087,-0.002099255280867,8.61394422283236
6.1,2.37973888287722,2.43334758001368,1.5,1.50197132976614,-0.001971329766143,8.59137189668615
6.2,2.16412329471738,2.2009651564598,1.5,1.50206406660577,-0.002064066605771,9.20006526479722
6.3,1.96418440722551,2.00905509836373,1.5,1.50205434851661,-0.002054348516608,9.45939935200515
6.4,1.78506609353048,1.8233432451413,1.5,1.50216327413105,-0.00216327413105,9.73550984466812
6.5,1.63136908773787,1.66275005256808,1.5,1.50213615956741,-0.002136159567406,9.78350837314451
6.6,1.50708400509807,1.52656097459098,1.5,1.5023018620628,-0.002301862062803,10.4816202397416
6.7,1.41553418323268,1.43348688224986,1.5,1.50238999263188,-0.002389992631876,9.8135094906883
6.8,1.35932910834074,1.374368050224,1.5,1.50251172834403,-0.002511728344033,10.0478384112056
6.9,1.34032903645678,1.3494363676992,1.5,1.50229938098401,-0.002299380984006,9.91939914708466
7,1.35962125800329,1.34796800028444,1.5,1.50240222320126,-0.002402223201262,10.039962065109
7.1,1.4175082863521,1.41802496027537,1.5,1.50245812025113,-0.002458120251134,9.62082603264264
7.2,1.51350808023653,1.48962079267602,1.5,1.5024359989941,-0.002435998994095,9.63213728089233
7.3,1.64636623803483,1.61754098341578,1.5,1.50259693701343,-0.002596937013425,9.77028551890737
7.4,1.81407993157607,1.78121621015629,1.5,1.5025818113715,-0.002581811371495,9.21576475498119
7.5,2.01393318057971,1.96780674106195,1.5,1.50267358761587,-0.002673587615867,8.912651613888
7.6,2.24254290844431,2.18586839189315,1.5,1.5026062784306,-0.002606278430598,9.31291439185357
7.7,2.49591506807583,2.43029440789839,1.5,1.50254391576482,-0.00254391576482,8.72299377769808
7.8,2.76950998489323,2.70283415393144,1.5,1.50268201584811,-0.002682015848115,8.15226242466659
7.9,3.05831593502178,2.99896613045605,1.5,1.50264061352529,-0.00264061352529,8.70439991072742
8,3.35692986175502,3.28263766502885,1.5,1.50267424080355,-0.002674240803548,7.94892706537696
8.1,3.65964403420744,3.59311956974391,1.5,1.50263808522278,-0.002638085222783,8.02181478527661
8.2,3.96053737004031,3.893369019921,1.5,1.50265023782583,-0.002650237825828,7.2924342444585
8.3,4.25357008032248,4.18611843761003,1.5,1.50256425094696,-0.002564250946959,7.01243575040305
8.4,4.53268024984951,4.46275965045126,1.5,1.50256254261419,-0.002562542614191,6.30550339152185
8.5,4.79188094115157,4.73825139961269,1.5,1.50260326320487,-0.00260326320487,5.80676840581868
8.6,5.02535640529288,4.97049005809922,1.5,1.50259484570491,-0.002594845704913,6.54464675005775
8.7,5.22755599742288,5.18480604436863,1.5,1.5025752520422,-0.002575252042199,6.21590400192272
8.8,5.39328442963111,5.36543279413938,1.5,1.50248867344108,-0.002488673441082,5.7170622097993
8.9,5.51778704745681,5.4929768133085,1.5,1.50246564791877,-0.002465647918774,5.39270514369796
9,5.59682888861624,5.58084719319841,1.5,1.50242024377556,-0.002420243775559,5.80395362834433
9.1,5.62676637208729,5.632401780171,1.5,1.50243142738334,-0.002431427383345,5.9838416418604
9.2,5.60461057134265,5.61321381512742,1.5,1.50247407496909,-0.002474074969092,5.41171949323554
9.3,5.52808114573917,5.55552153825,1.5,1.50235088579905,-0.002350885799052,5.01714811683461
9.4,5.3956501371429,5.42857245433611,1.5,1.50207995772757,-0.002079957727568,5.71385203969198
9.5,5.20657498290908,5.25443189968703,1.5,1.50211807956147,-0.002118079561466,6.24525389442804
9.6,4.96092024931156,5.0231857368589,1.5,1.50224866671816,-0.002248666718158,6.70997070578331
9.7,4.65956774926944,4.73425047823599,1.5,1.50227927972228,-0.002279279722283,6.53369692734071
9.8,4.30421487250771,4.38879076851786,1.5,1.5022484868271,-0.0022484868271,6.55127521143972
9.9,3.89736112280811,3.98538639939948,1.5,1.50195650651327,-0.001956506513268,7.82609203659372
10,3.44228302342791,3.55208290150545,1.5,1.50187285469072,-0.001872854690715,7.5933903701029
10.1,2.9429977157647,3.08279650709096,2.5,1.83844750724926,0.661552492750743,96.1908553312117
10.2,2.4042157356393,2.43600239113799,2.5,2.15176731770598,0.348232682294021,95.4333044116116
10.3,1.83128360394331,1.54428252659385,2.5,2.37383494091287,0.126165059087126,61.0176049760764
10.4,1.23011701173895,1.20736230388396,2.5,2.45530917085402,0.044690829145982,42.6065666578699
10.5,0.607125512224452,0.710292648190364,2.5,2.48492823320851,0.015071766791489,37.4213407527267
10.6,-0.030870248537696,0.123963060113717,2.5,2.49608711867734,0.00391288132266,35.9180447438032
10.7,-0.676727625231428,-0.509970987703134,2.5,2.50010259136197,-0.000102591361967,35.7452418455141
10.8,-1.32307616525921,-1.16020914202733,2.5,2.50161932711115,-0.001619327111148,35.9273600209336
10.9,-1.96241560115292,-1.78604922999534,2.5,2.50225802601431,-0.002258026014309,36.4661326240459
11,-2.58721629166195,-2.41976482071231,2.5,2.50240880574303,-0.002408805743026,37.2785876432831
11.1,-3.19002072474295,-3.03286843807106,2.5,2.5025749536935,-0.002574953693498,38.2026635935963
11.2,-3.76354467994073,-3.6219609258789,2.5,2.50290075257354,-0.002900752573542,37.9271489856857
11.3,-4.30077665138119,-4.17122859824352,2.5,2.50288956002229,-0.002889560022291,38.8172002540892
11.4,-4.79507415570888,-4.67014818667934,2.5,2.50276569436008,-0.002765694360076,38.8367703485446
11.5,-5.24025559144123,-5.12479007659385,2.5,2.50297664075169,-0.002976640751693,40.2661091130776
11.6,-5.63068637676083,-5.52582323350321,2.5,2.50297295678088,-0.002972956780883,39.5422029475154
11.7,-5.96135817085555,-5.86657998546064,2.5,2.50295124938361,-0.002951249383612,40.7229321955055
11.8,-6.22796007843133,-6.1695128310863,2.5,2.50307344590904,-0.003073445909042,40.5963599313442
11.9,-6.42694084662585,-6.3703830411193,2.5,2.50313488045881,-0.003134880458807,40.8911938836333
12,-6.55556118670044,-6.53343050588982,2.5,2.50313592278803,-0.003135922788032,40.8060565482558
12.1,-6.61193548785279,-6.59918129838043,2.5,2.50318053674212,-0.003180536742125,41.0506153146082
12.2,-6.59506233538938,-6.59407014525993,2.5,2.5032708530804,-0.003270853080398,40.5700289694177
12.3,-6.50484339830128,-6.53209099116485,2.5,2.50340258307424,-0.003402583074241,40.9567356997983
12.4,-6.34209040987814,-6.38761028634504,2.5,2.50364787097421,-0.003647870974206,40.7581846414705
12.5,-6.10852012717112,-6.16026654019301,2.5,2.50361440044356,-0.003614400443559,40.3650863386626
12.6,-5.80673731863539,-5.87324459441539,2.5,2.50381833806353,-0.00381833806353,39.875700663408
12.7,-5.44020599188933,-5.54200954158131,2.5,2.50371549801162,-0.00371549801162,39.4525314064724
12.8,-5.013209232985,-5.11627439388565,2.5,2.50391189802097,-0.00391189802097,39.5099395883971
12.9,-4.5307981827055,-4.65482841607204,2.5,2.50397651611816,-0.003976516118157,39.3848694431411
13,-3.99873082208211,-4.14991639646711,2.5,2.50395117036136,-0.00395117036136,38.4355153897685
13.1,-3.42340137656031,-3.56880656240044,2.5,2.50401469749951,-0.004014697499512,37.4203615522152
13.2,-2.81176127417654,-2.97367938056673,2.5,2.50401402222723,-0.00401402222723,37.1903545428821
13.3,-2.17123270603765,-2.34104639254007,2.5,2.5039700569898,-0.003970056989802,36.8422413464585
13.4,-1.50961593580678,-1.67479152103865,2.5,2.50392610947811,-0.003926109478109,35.7195966901442
13.5,-0.834991587483711,-1.01507434899545,2.5,2.50409670803842,-0.004096708038417,35.4440165525172
13.6,-0.155619206437139,-0.328502466537519,2.5,2.50414732966425,-0.004147329664251,34.8832551740189
13.7,0.520166563449627,0.344828184432936,2.5,2.50406820389655,-0.004068203896545,33.1344987789917
13.8,1.18406081411969,1.00581909907836,2.5,2.5040616707807,-0.004061670780704,33.0829951594971
13.9,1.8278928359471,1.67365020660992,2.5,2.50406727425841,-0.004067274258407,32.4311529979265
14,2.44372883335702,2.2737650297224,2.5,2.50409535953975,-0.004095359539749,32.3165120460451
14.1,3.02397154481895,2.8864876247451,2.5,2.50402408750058,-0.004024087500584,30.8945312284425
14.2,3.5614554633731,3.41678592481208,2.5,2.50393526358456,-0.00393526358456,30.8263507195513
14.3,4.04953641617555,3.93374566248371,2.5,2.50400076843131,-0.004000768431311,30.1847099859385
14.4,4.48217434047588,4.37851648132711,2.5,2.50386341774775,-0.003863417747748,29.6664824028739
14.5,4.85400818783203,4.77185028259612,2.5,2.50384767946152,-0.003847679461519,29.1857145481839
14.6,5.16042199686701,5.08398753199664,2.5,2.50394895385199,-0.003948953851987,29.0820803066722
14.7,5.39760129594434,5.33972124498472,2.5,2.50378872862339,-0.003788728623387,28.7349160488309
14.8,5.56257912907244,5.52264730682458,2.5,2.50363673591317,-0.003636735913173,28.0843647266379
14.9,5.65327113929763,5.63834853504367,2.5,2.50339558507408,-0.003395585074084,28.3295398202115
15,5.66849929184126,5.68053615332884,2.5,2.50337854314031,-0.003378543140312,28.387401578414
15.1,5.60800397222728,5.62224964031434,2.5,2.50316711227084,-0.003167112270837,28.8913102971628
15.2,5.47244435051679,5.52256559282281,2.5,2.50308098478812,-0.003080984788123,28.4899994239237
15.3,5.26338705937326,5.31234732432274,2.5,2.50323760144719,-0.003237601447192,29.3405086679945
15.4,4.98328338888089,5.06160987600187,2.5,2.50312678597799,-0.003126785977988,28.9530979277243
15.5,4.63543535271611,4.72580862360099,2.5,2.50319568646233,-0.003195686462332,30.4651610819807
15.6,4.22395112637206,4.33249361071392,2.5,2.5029773886508,-0.002977388650797,29.3914537951012
15.7,3.75369049669054,3.87611219642848,2.5,2.5028619536218,-0.002861953621799,31.3513713145426
15.8,3.2302010911103,3.37477155530145,2.5,2.50318055085893,-0.00318055085893,30.348943392399
15.9,2.65964627308097,2.80899997235723,2.5,2.50301060392841,-0.003010603928406,31.7960352134567
16,2.0487256954642,2.22521386216419,2.5,2.50280756870714,-0.002807568707143,32.1049008600877
16.1,1.40458959507848,1.57697557190693,2.5,2.50268408322124,-0.002684083221243,33.2343274476167
16.2,0.734747987681837,0.914973673963094,2.5,2.50258739851952,-0.002587398519524,33.6745046995644
16.3,0.046975982643378,0.235811141884065,2.5,2.50256036204732,-0.002560362047324,33.8236150465849
16.4,-0.650783520328944,-0.458671531545409,2.5,2.50267938887913,-0.002679388879132,35.1580906723611
16.5,-1.35051846432571,-1.17538479702276,2.5,2.50273784438973,-0.002737844389725,35.8562639130811
16.6,-2.04424630203473,-1.86127921789495,2.5,2.50264796405974,-0.002647964059742,36.0901614114603
16.7,-2.72411140948668,-2.53968933968212,2.5,2.50243288931324,-0.002432889313244,36.9108955040422
16.8,-3.3824799868836,-3.21116785912544,2.5,2.5025596579906,-0.002559657990603,37.2869436016563
16.9,-4.0120312303743,-3.85637344782862,2.5,2.50278307182189,-0.002783071821892,38.0536323971084
17,-4.6058436185314,-4.45085521415659,2.5,2.50267602644805,-0.002676026448051,38.6213308163065
17.1,-5.15747523240502,-5.02331538505962,2.5,2.50285667125153,-0.002856671251532,39.152419403271
17.2,-5.66103711723749,-5.54209684377899,2.5,2.50280856895509,-0.002808568955089,40.2522388601898
17.3,-6.11125879589607,-5.9962444291814,2.5,2.50286174661167,-0.002861746611671,40.303813694547
17.4,-6.50354515732076,-6.41116357741504,2.5,2.50292702180887,-0.002927021808868,41.0466001122966
17.5,-6.83402406614992,-6.75296987533622,2.5,2.50311366809148,-0.003113668091483,41.1808809185033
17.6,-7.09958417041407,-7.04369871203911,2.5,2.50319096285781,-0.003190962857814,41.5075573164703
17.7,-7.29790252091611,-7.24518715605923,2.5,2.5032056361084,-0.003205636108404,41.240842335083
17.8,-7.42746175671247,-7.40180847519373,2.5,2.50313824215696,-0.003138242156959,41.3533234345291
17.9,-7.48755675399996,-7.4675545615519,2.5,2.50301194343377,-0.003011943433767,41.9132099074687
18,-7.47829077870699,-7.48404687659606,2.5,2.50330483741431,-0.003304837414305,42.5899160505997
18.1,-7.40056132420894,-7.41628656889035,2.5,2.5031807767119,-0.003180776711895,41.5824378540619
18.2,-7.25603595289828,-7.2936356582425,2.5,2.5035362298257,-0.003536229825696,41.5425658740781
18.3,-7.04711859197313,-7.09215673912066,2.5,2.50369227348665,-0.003692273486653,40.9827438305666
18.4,-6.77690685798539,-6.84155395336387,2.5,2.50367077031494,-0.003670770314939,41.6459458143258
18.5,-6.44914109975463,-6.54302665728539,2.5,2.50344756396814,-0.003447563968136,40.2198148681542
18.6,-6.06814595368728,-6.17850293403684,2.5,2.50388602566708,-0.003886025667084,40.2388857770544
18.7,-5.63876529798413,-5.74680566020241,2.5,2.5038622126976,-0.003862212697604,40.5165254992985
18.8,-5.16629157149379,-5.28351753441108,2.5,2.50358634205841,-0.003586342058407,39.8905941793085
18.9,-4.65639048808849,-4.80061740262309,2.5,2.50387673598672,-0.003876735986717,39.4432571588258
19,-4.11502222762277,-4.25601613195557,2.5,2.50391792053236,-0.00391792053236,37.4183328119101
19.1,-3.54836021922026,-3.7062444175738,2.5,2.50402887922669,-0.004028879226687,37.615931817438
19.2,-2.96270865147808,-3.11446722926544,2.5,2.50399223753726,-0.003992237537258,37.6920842784827
19.3,-2.36441984706517,-2.52369300148358,2.5,2.50381778827352,-0.003817788273522,36.5661437871205
19.4,-1.75981262622991,-1.91556904320996,2.5,2.50392082321243,-0.003920823212433,35.1430157185106
19.5,-1.15509275525491,-1.30886811964046,2.5,2.50409092085246,-0.00409092085246,34.6756764148904
19.6,-0.556276532449571,-0.711223056177956,2.5,2.50422384318688,-0.004223843186884,34.7709472678708
19.7,0.030881493390881,-0.12244038988233,2.5,2.50406802522684,-0.004068025226835,34.5975970547307
19.8,0.600955748060713,0.467720810982165,2.5,2.50397419176196,-0.003974191761956,33.6851416186367
19.9,1.14891095962275,1.0168402729324,2.5,2.5040385580752,-0.004038558075204,34.2497766675659
20,1.67015684167824,1.53711256854413,2,2.50406779981155,-0.504067799811553,32.7306556952727
20.1,2.16059548854936,2.38162357609905,2,2.21194307960844,-0.211943079608437,-25.838818440849
20.2,2.61666094989328,2.7253631916007,2,2.08536938146813,-0.08536938146813,0.475117150310619
