time,u,e_{u},tau_{u}
9.8,1.58533719634936,-0.085337196349359,-7.29395672678947
9.9,1.58178870039705,-0.081788700397049,-5.52142299711704
10,1.57560788049711,-0.075607880497109,-4.38708998262882
10.1,1.96021482969394,0.539785170306058,99.0228831768036
10.2,2.29362520407248,0.206374795927522,83.4175586700439
10.3,2.44585963800976,0.05414036199024,46.7315167188644
10.4,2.49347373290553,0.006526267094472,36.4733070135117
10.5,2.50360618975017,-0.003606189750167,34.4385206699371
10.6,2.50003781336445,-3.78133644480805E-05,34.9658370018005
10.7,2.49145134426833,0.008548655731672,36.4479422569275
10.8,2.48218389731829,0.017816102681708,38.8729244470596
10.9,2.4735738941422,0.0264261058578,40.5606180429459
11,2.46636867012811,0.033631329871889,41.8000966310501
11.1,2.46104551981706,0.038954480182941,43.1980162858963
11.2,2.45732386448816,0.042676135511837,44.2766159772873
11.3,2.4552476550751,0.044752344924902,44.5013850927353
11.4,2.45446252307364,0.045537476926359,44.4490164518356
11.5,2.45499503385863,0.045004966141369,44.5577591657639
11.6,2.45649750113773,0.043502498862266,44.3031638860703
11.7,2.45895587488165,0.041044125118351,43.6169624328613
11.8,2.46215390775291,0.037846092247091,42.7721709012985
11.9,2.46538512712275,0.03461487287725,42.0380741357803
12,2.46922098261574,0.030779017384256,41.8934851884842
12.1,2.47317811730074,0.026821882699263,40.5056118965149
12.2,2.47738097745565,0.022619022544355,39.0090674161911
12.3,2.48148720319781,0.018512796802187,39.6359533071518
12.4,2.48624659837844,0.013753401621556,37.9321545362473
12.5,2.49092402873449,0.009075971265507,37.1551930904388
12.6,2.49593606867259,0.004063931327411,35.4233741760254
12.7,2.50153318385462,-0.001533183854618,35.0598126649857
12.8,2.50749988473251,-0.00749988473251,33.522367477417
12.9,2.51384719608785,-0.013847196087853,31.9640219211578
13,2.52088256116192,-0.020882561161919,31.5637409687042
13.1,2.52790918496667,-0.027909184966675,28.5974204540253
13.2,2.53509092283935,-0.035090922839355,28.1989544630051
13.3,2.54230713515778,-0.042307135157778,25.8614718914032
13.4,2.54913727330034,-0.049137273300342,25.0866681337357
13.5,2.55534611862004,-0.055346118620035,22.7432385087013
13.6,2.56072287080371,-0.060722870803706,22.6715639233589
13.7,2.56423680250347,-0.064236802503472,21.7538237571716
13.8,2.56614111792028,-0.066141117920284,21.016263961792
13.9,2.56615423284568,-0.066154232845681,21.8976259231567
14,2.56349758576824,-0.063497585768237,21.8752786517143
14.1,2.55837186131892,-0.058371861318924,22.5099444389343
14.2,2.55099410537899,-0.050994105378993,24.3894770741463
14.3,2.54095284552747,-0.040952845527475,26.9316613674164
14.4,2.52888069975758,-0.028880699757578,29.6068698167801
14.5,2.51509576738345,-0.015095767383447,32.2324126958847
14.6,2.49965703933699,0.000342960663007,35.0202172994614
14.7,2.48325164458631,0.016748355413695,37.9409432411194
14.8,2.46739110382097,0.032608896179033,40.7988369464874
14.9,2.45247589895573,0.047524101044272,44.3051397800446
15,2.43912921532629,0.060870784673715,47.5967198610306
15.1,2.42770109115813,0.072298908841869,49.914687871933
15.2,2.41916468666672,0.080835313333279,52.0897626876831
15.3,2.41394413069835,0.086055869301648,53.7365317344666
15.4,2.41244596178314,0.087554038216858,53.7304937839508
15.5,2.4146746935509,0.085325306449097,53.5972416400909
15.6,2.42079808709721,0.079201912902789,51.9711256027222
15.7,2.43054474083061,0.069455259169388,50.2972483634949
15.8,2.44382213923508,0.056177860764918,46.9618439674377
15.9,2.46015105682183,0.039848943178169,43.9049512147903
16,2.4785879391738,0.021412060826205,39.3229722976685
16.1,2.49888917046278,0.001110829537221,35.1810395717621
16.2,2.52031625794564,-0.020316257945643,30.6699454784393
16.3,2.5411315194274,-0.041131519427397,26.2816876173019
16.4,2.56059642954351,-0.060596429543514,22.7742329239845
16.5,2.57770742456393,-0.077707424563928,19.2692175507545
16.6,2.59136544141759,-0.091365441417593,16.4842665195465
16.7,2.60117098210006,-0.101170982100063,14.1552999615669
16.8,2.60642174131807,-0.106421741318074,13.66266310215
16.9,2.6073990261219,-0.1073990261219,12.6691102981567
17,2.60304821572727,-0.103048215727269,14.283512532711
17.1,2.59407339973064,-0.094073399730642,15.2892425656319
17.2,2.58086363917561,-0.080863639175613,19.2346721887589
17.3,2.5640770095482,-0.064077009548198,22.1900373697281
17.4,2.54465054325668,-0.044650543256676,26.2552827596664
17.5,2.52321279023556,-0.023212790235559,29.5617043972015
17.6,2.5011489149553,-0.0011489149553,34.9961191415787
17.7,2.47940784995645,0.020592150043552,39.2333924770355
17.8,2.45932768417752,0.040672315822477,43.8370078802109
17.9,2.4423726159812,0.057627384018801,47.880882024765
18,2.42838493761168,0.071615062388319,49.9668747186661
18.1,2.41861787846665,0.081382121533354,52.4650633335114
18.2,2.4132537486924,0.0867462513076,54.188346862793
18.3,2.41243043917075,0.08756956082925,54.6377599239349
18.4,2.41623414744004,0.083765852559962,53.5459220409393
18.5,2.42402339663451,0.075976603365487,51.7583966255188
18.6,2.43596832274303,0.06403167725697,48.8317221403122
18.7,2.45094623738869,0.049053762611311,45.9252953529358
18.8,2.46815076238153,0.031849237618471,42.2901332378387
18.9,2.48678115692375,0.013218843076248,37.7597987651825
19,2.50601634971177,-0.006016349711771,33.6206793785095
19.1,2.52513368534011,-0.025133685340108,29.5613050460815
19.2,2.54253595402046,-0.042535954020461,26.7807751893997
19.3,2.55697240607599,-0.056972406075994,23.2037574052811
19.4,2.5684725839545,-0.068472583954498,20.8107307553291
19.5,2.57581466060064,-0.075814660600637,18.8070997595787
19.6,2.57852745318595,-0.078527453185954,18.8774809241295
19.7,2.57729973926198,-0.07729973926198,19.7456642985344
19.8,2.5721334509772,-0.072133450977199,20.693838596344
19.9,2.5628966739587,-0.062896673958696,21.780963242054
20,2.55024169455653,-0.550241694556529,24.6835574507713
20.1,2.25509935802514,-0.255099358025141,-32.6988488435745
20.2,2.10598273996633,-0.105982739966335,-1.02763585746288
20.3,2.03726073145549,-0.03726073145549,14.0711307525635
20.4,2.00032563576972,-0.000325635769725,21.4954420924187
20.5,1.97686251243552,0.023137487564485,26.3781100511551
20.6,1.96081197151916,0.03918802848084,29.1519790887833
20.7,1.94991502185885,0.050084978141147,32.8021943569183
20.8,1.94317828205429,0.056821717945714,33.3093136548996
20.9,1.94066064153032,0.059339358469682,34.3496471643448
21,1.94233976494659,0.057660235053414,33.664146065712
21.1,1.94774994179705,0.052250058202948,32.767590880394
21.2,1.95663466903796,0.043365330962041,30.8381766080856
21.3,1.96845585763826,0.031544142361742,28.9723962545395
21.4,1.98242058412125,0.017579415878752,24.8918056488037
21.5,1.9977308769023,0.002269123097704,22.0875829458237
21.6,2.01362500141777,-0.013625001417773,18.4423804283142
21.7,2.02935660521504,-0.029356605215041,15.2253821492195
21.8,2.04339081815005,-0.04339081815005,12.0951570570469
21.9,2.05533441852069,-0.055334418520693,10.1447641849518
22,2.06422343725976,-0.064223437259764,8.15621837973595
22.1,2.06947260559121,-0.069472605591213,6.04236125946045
22.2,2.07100451987746,-0.071004519877459,6.65545538067818
22.3,2.06855552077347,-0.068555520773472,6.86947256326675
22.4,2.06246526964151,-0.06246526964151,8.39987173676491
22.5,2.05272860523597,-0.05272860523597,10.0853189826012
22.6,2.04034655818369,-0.040346558183686,13.1905362010002
22.7,2.02578012103254,-0.025780121032542,16.1217570304871
22.8,2.00982673755161,-0.009826737551613,19.9200108647347
22.9,1.99336866716065,0.006631332839346,22.9092210531235
23,1.97738700765657,0.02261299234343,26.5851020812988
23.1,1.96288427946082,0.037115720539181,29.1671842336655
23.2,1.95086206718727,0.049137932812731,32.2146207094192
23.3,1.94167013040182,0.058329869598183,34.3070924282074
23.4,1.93583060208515,0.064169397914847,35.3668242692947
23.5,1.9336111046454,0.066388895354602,35.931271314621
23.6,1.93513694475823,0.064863055241774,35.7807159423828
23.7,1.94027356359323,0.059726436406769,34.5586389303207
23.8,1.94872645549788,0.051273544502116,32.1963936090469
23.9,1.9601262601831,0.039873739816902,29.9007922410965
24,1.9736226829169,0.0263773170831,27.3855179548264
24.1,1.98871292302499,0.011287076975008,23.4440416097641
24.2,2.00457737746866,-0.004577377468656,21.0900962352753
24.3,2.02065720847684,-0.020657208476837,17.2437369823456
24.4,2.03574895704229,-0.03574895704229,14.3151327967644
24.5,2.04886977623404,-0.048869776234039,10.823355615139
24.6,2.05957736090654,-0.059577360906545,9.15626510977745
24.7,2.06743100488837,-0.067431004888366,7.24589824676514
24.8,2.07203916426487,-0.072039164264875,6.31164386868477
24.9,2.07323888781485,-0.073238887814847,5.92732429504395
25,2.07081501640237,-0.07081501640237,6.82374760508537
25.1,2.06566657264415,-0.065666572644145,7.53345638513565
25.2,2.05724121514444,-0.05724121514444,9.9812775850296
25.3,2.04675004689982,-0.046750046899817,11.6008169949055
25.4,2.03444152942684,-0.034441529426844,14.4472911953926
25.5,2.02126818358938,-0.021268183589379,16.3308471441269
25.6,2.0077362506946,-0.007736250694595,20.6116139888763
25.7,1.9944745316737,0.005525468326302,22.7364048361778
25.8,1.98226573155317,0.017734268446829,24.8587712645531
25.9,1.97225256649476,0.027747433505236,27.8847515583038
26,1.96429039876392,0.035709601236083,29.3442279100418
26.1,1.95849414804372,0.04150585195628,30.7473480701447
26.2,1.95533148945373,0.044668510546265,31.1811566352844
26.3,1.95473841783241,0.045261582167592,31.3979268074036
26.4,1.95649624230282,0.043503757697185,31.2254428863525
26.5,1.96036826200837,0.039631737991635,30.2001416683197
26.6,1.96601154816921,0.03398845183079,29.1600435972214
26.7,1.97306916693365,0.026930833066349,27.0544975996017
26.8,1.9811310044052,0.018868995594805,25.7207810878754
26.9,1.98959243286518,0.010407567134821,23.7593963742256
27,1.99777179803251,0.002228201967494,22.0630154013634
27.1,2.00553749808046,-0.005537498080458,20.1051384210587
27.2,2.01274875615331,-0.012748756153306,19.1349163651466
27.3,2.01862109260738,-0.018621092607377,17.4505218863487
27.4,2.02302049927924,-0.023020499279243,16.4499878883362
27.5,2.02610163098279,-0.026101630982788,15.430311858654
27.6,2.02733867765203,-0.027338677652033,15.3556659817696
27.7,2.02723514307476,-0.027235143074761,15.6964331865311
27.8,2.02612834256816,-0.026128342568165,16.1537408828735
27.9,2.02410659791205,-0.024106597912049,16.4764642715454
28,2.02137773828792,-0.021377738287918,16.68541431427
28.1,2.01817215366526,-0.018172153665263,17.6533326506615
28.2,2.01497816109094,-0.014978161090937,17.9042056202889
28.3,2.0120517650952,-0.012051765095199,18.5407742857933
28.4,2.00974416351634,-0.009744163516336,19.7663575410843
28.5,2.00789566953218,-0.007895669532182,20.4718247056007
28.6,2.00673884585431,-0.006738845854314,20.1000839471817
28.7,2.00647640193818,-0.006476401938181,19.8154777288437
28.8,2.0068032115758,-0.006803211575795,20.4968750476837
28.9,2.00757466268453,-0.007574662684529,19.648577272892
29,2.00889339266761,-0.008893392667606,19.8896124958992
29.1,2.01011841200234,-0.010118412002336,19.4211840629578
29.2,2.01135530631443,-0.011355306314428,18.9563661813736
29.3,2.01202926790355,-0.012029267903547,19.1456884145737
29.4,2.01239899191125,-0.012398991911245,18.5343980789185
29.5,2.01196527288737,-0.011965272887367,19.2075327038765
29.6,2.01057720129189,-0.010577201291895,19.1907748579979
29.7,2.00868644175881,-0.008686441758813,20.4549267888069
29.8,2.00587183740045,-0.005871837400451,20.2304676175117
29.9,2.00236598690004,-0.002365986900041,22.1725299954414
