time,hat{D_{w}},theta,e_{theta},tau_{q}
10,0.432322410562594,0.182852086616374,-0.008319161416941,-19.4757848978043
10.1,0.368436863211097,0.203742105334009,0.145323745064856,100
10.2,0.482391962515363,0.238791900469586,0.11027394992928,100
10.3,-4.09678272033722,0.275259320722142,0.073806529676724,100
10.4,-1.72568410868922,0.310087467197547,0.038978383201319,89.1677021980286
10.5,0.677327723119587,0.33849754567664,0.010568304722226,37.12238073349
10.6,0.842474960408754,0.352421078220058,-0.003355227821192,8.14272463321686
10.7,0.855375694532344,0.35294559957782,-0.003879749178954,20.4290166497231
10.8,0.8607971309366,0.348385502063627,0.000680348335238,47.7888137102127
10.9,0.890313176803035,0.344168490299226,0.004897360099639,63.2037818431854
11,0.931127126990738,0.340853912796273,0.008211937602593,73.6284911632538
11.1,0.970256505697933,0.338548198218933,0.010517652179933,80.9274315834045
11.2,0.994127015083479,0.337455618856655,0.011610231542211,83.7411642074585
11.3,1.0077812645596,0.337723580113141,0.011342270285725,83.0187380313873
11.4,1.0192644719576,0.339235307801069,0.009830542597797,71.0642457008362
11.5,1.03468100134848,0.341694592951084,0.007371257447782,60.8977913856506
11.6,1.04855959927677,0.344817181450478,0.004248668948387,43.4274703264236
11.7,1.05430046937053,0.347688691610359,0.001377158788506,27.9971241950989
11.8,1.03714072592006,0.349904874696627,-0.000839024297761,18.6459258198738
11.9,1.00040986213176,0.351492834715908,-0.002426984317042,9.14041101932526
12,0.957517975044065,0.352584739512482,-0.003518889113616,4.00352068245411
12.1,0.912667699571521,0.352986187649315,-0.003920337250449,3.42815183103085
12.2,0.866697643546037,0.352435046169971,-0.003369195771105,14.8167595267296
12.3,0.80666325288376,0.351006031652759,-0.001940181253893,22.2754657268524
12.4,0.730702753742069,0.349157957213082,-9.21068142158976E-05,28.3750534057617
12.5,0.638784979168821,0.347192091768877,0.001873758629989,43.9336329698563
12.6,0.541329845180619,0.34522672485129,0.003839125547576,55.2136242389679
12.7,0.434938512149059,0.34319806445205,0.005867785946815,61.2075507640839
12.8,0.319478734430608,0.341355408392112,0.007710442006754,71.100127696991
12.9,0.199056415655711,0.34022133672985,0.008844513669016,74.0525424480438
13,0.073632205418336,0.339971359780345,0.009094490618521,72.7879583835602
13.1,-0.056383807335993,0.340709514604239,0.008356335794627,66.5379703044891
13.2,-0.190501016826226,0.342380793279756,0.00668505711911,60.4599595069885
13.3,-0.327408504428096,0.344780921160568,0.004284929238298,49.2654204368591
13.4,-0.464536606441813,0.347307839921878,0.001758010476988,35.8590632677078
13.5,-0.604101825404526,0.349454672207517,-0.000388821808651,20.965002477169
13.6,-0.744653205917514,0.351283877647831,-0.002218027248965,13.2663711905479
13.7,-0.883870856220691,0.352676496044931,-0.003610645646065,7.27965980768204
13.8,-1.02155781789313,0.353374181334588,-0.004308330935722,5.99979236721993
13.9,-1.15645866014052,0.353389232664391,-0.004323382265525,7.33244046568871
14,-1.28819518161927,0.352619342357302,-0.003553491958436,9.54958274960518
14.1,-1.41592074258821,0.351282172592707,-0.002216322193841,17.3404797911644
14.2,-1.53427524726177,0.34938590904836,-0.000320058649494,28.7791520357132
14.3,-1.64812977403329,0.347198411777185,0.001867438621681,42.0497000217438
14.4,-1.75269311278451,0.344976497018415,0.004089353380451,51.0294198989868
14.5,-1.84356889314016,0.342924849029167,0.006141001369699,60.3945076465607
14.6,-1.91946484588321,0.341053086425629,0.008012763973237,65.2024269104004
14.7,-1.97215257290882,0.339761521174147,0.009304329224719,67.1559035778046
14.8,-2.01727137975768,0.339247489238631,0.009818361160235,68.7229514122009
14.9,-2.05817934240112,0.33977110642265,0.009294743976216,65.9385561943054
15,-2.08342993259847,0.341079796563608,0.007986053835258,60.9585702419281
15.1,-2.08665291435981,0.342930366241919,0.006135484156947,48.8863885402679
15.2,-2.06197624617559,0.344988993205199,0.004076857193666,39.8857980966568
15.3,-2.02080174803177,0.346838992487751,0.002226857911115,31.1674565076828
15.4,-1.96084300306596,0.348518345536096,0.00054750486277,24.9039694666862
15.5,-1.88729699336454,0.349842742193387,-0.000776891794521,18.2372123003006
15.6,-1.79896677158004,0.350777207002004,-0.001711356603138,17.0900017023087
15.7,-1.69167579611754,0.351071487597868,-0.002005637199002,10.903200507164
15.8,-1.5690740410908,0.350722728659063,-0.001656878260197,15.4600918292999
15.9,-1.43228165414317,0.349981710640818,-0.000915860241952,23.4443202614784
16,-1.27991730488878,0.348999738380669,6.611201819684E-05,30.6981533765793
16.1,-1.10229908302126,0.347847894645543,0.001217955753323,37.5121980905533
16.2,-0.913115636518806,0.3467275987298,0.002338251669066,44.0898805856705
16.3,-0.707341921526441,0.345760733675873,0.003305116722993,51.1915326118469
16.4,-0.48795366781703,0.345009555099017,0.004056295299849,52.1517276763916
16.5,-0.256027280541714,0.344513645809123,0.004552204589743,52.7598798274994
16.6,-0.012611248218614,0.344307055939708,0.004758794459158,54.4703185558319
16.7,0.242541286257902,0.344603256422012,0.004462593976854,54.3301284313202
16.8,0.505671983233569,0.345194483226296,0.00387136717257,52.0573198795319
16.9,0.778135120481863,0.345937177855607,0.003128672543259,41.9284850358963
17,1.05540848584678,0.346564522093266,0.002501328305599,40.1187717914581
17.1,1.33621976788989,0.347128607590431,0.001937242808435,37.3401522636414
17.2,1.6181046299808,0.34761675713991,0.001449093258956,34.8984867334366
17.3,1.90425074204519,0.348015684874959,0.001050165523907,34.8615229129791
17.4,2.18620012413228,0.347977823309969,0.001088027088897,38.3673995733261
17.5,2.46519348705097,0.347769382192956,0.00129646820591,39.5629286766052
17.6,2.73799661268294,0.347491506200087,0.001574344198779,44.7277814149857
17.7,3.00563963968278,0.347336430630262,0.001729419768604,44.5766180753708
17.8,3.26677014925427,0.347057171234932,0.002008679163934,39.0932679176331
17.9,3.51521317350655,0.346643046695626,0.00242280370324,47.1477687358856
18,3.75057640217095,0.346389163130035,0.002676687268831,49.5610982179642
18.1,3.97271158804815,0.346545732790495,0.002520117608371,32.573539018631
18.2,4.18133610855368,0.34711481801349,0.001951032385376,44.3694412708283
18.3,4.3730178702806,0.348288387167467,0.000777463231398,34.1256648302078
18.4,4.54799528165556,0.349736022500028,-0.000670172101162,35.3736996650696
18.5,4.70549605082341,0.351260274071368,-0.002194423672503,23.1687307357788
18.6,4.84009631508301,0.352638003314914,-0.003572152916049,19.2958071827889
18.7,4.95310099454822,0.353691738081619,-0.004625887682753,10.4652851819992
18.8,5.04574407469851,0.354078645430549,-0.005012795031684,18.1094065308571
18.9,5.11575213575819,0.353988890174224,-0.004923039775358,13.1624817848206
19,5.15345315205436,0.353345788525171,-0.004279938126305,12.9663929343224
19.1,5.16399221557716,0.35172585056451,-0.002660000165644,24.6655941009521
