time,hat{D_{r}},psi,e_{psi},tau_{r}
9.9,-1.62063324983618,1.0835885696974,-0.036391018500801,-45.9310293197632
10,-1.15214230718073,1.07833459085508,-0.031137039658486,-31.5262943506241
10.1,-1.82117552160863,1.1048059241237,0.989589178269499,78.3374965190887
10.2,-0.763974369682294,1.17565513036407,0.918739972029127,87.9566967487335
10.3,-0.123503169088218,1.26613856122585,0.828256541167344,97.2795784473419
10.4,0.386846603341581,1.36303413342421,0.731360968968984,100
10.5,0.493599290214631,1.45804696535108,0.63634813704212,100
10.6,0.808891422570022,1.54433066373632,0.55006443865687,99.0581631660461
10.7,0.978517786073574,1.61819395111684,0.476201151276357,91.5352821350098
10.8,1.10500721549234,1.68302332328342,0.411371779109776,97.1404790878296
10.9,1.08938131915034,1.74182688581228,0.35256821658092,87.4054670333862
11,0.960114673880803,1.79580309365111,0.29859200874209,88.1800711154938
11.1,0.872685802870533,1.84671647243968,0.247678629953511,85.5600237846375
11.2,0.701009769634522,1.89598647631394,0.198408626079254,76.1627435684204
11.3,0.135777351277474,1.94370131632165,0.150693786071543,77.7566850185394
11.4,-0.146390857601566,1.98720627351634,0.107188828876855,42.617878317833
11.5,-0.483347966590274,2.02283793894858,0.071557163444618,34.2492192983627
11.6,-1.06180698526533,2.04860233345569,0.045792768937506,13.6193752288818
11.7,-1.57493797425526,2.06694883807704,0.027446264316154,0.539098493754864
11.8,-2.15426116240541,2.08047508592751,0.013920016465682,-8.72060060501099
11.9,-2.71673241732221,2.09218948477717,0.002205617616024,-29.9833506345749
12,-3.1943580723875,2.10318382121831,-0.00878871882511,-51.036947965622
12.1,-3.60148053423748,2.11201216715786,-0.01761706476467,-48.8300740718842
12.2,-4.05132685127667,2.11932690768164,-0.024931805288449,-56.2982201576233
12.3,-4.45291121970513,2.12501970795,-0.030624605556808,-62.0025813579559
12.4,-4.88891680666389,2.12889068883033,-0.034495586437136,-58.3487212657928
12.5,-5.17090757852044,2.13109426763998,-0.036699165246784,-62.0193421840668
12.6,-5.4184158932972,2.13179753243857,-0.037402430045375,-51.8328607082367
12.7,-5.59814986852354,2.13069542709595,-0.036300324702758,-48.8321363925934
12.8,-5.66114766310318,2.12812404016681,-0.033728937773613,-39.9724960327148
12.9,-5.62863874758667,2.12513434233686,-0.030739239943661,-29.1051298379898
13,-5.4745231840397,2.12234891864336,-0.027953816250164,-15.0290295481682
13.1,-5.25790460545347,2.11706999105983,-0.022674888666635,-5.34083768725395
13.2,-5.00732323343575,2.10930810415841,-0.014913001765218,24.8208165168762
13.3,-4.78882923140579,2.10157366283816,-0.007178560444967,30.6974738836288
13.4,-4.39450289136266,2.09365007679068,0.000745025602519,34.0801447629929
13.5,-3.82804591923132,2.08638992476957,0.008005177623625,40.9369975328445
13.6,-3.27372869925459,2.08034422211427,0.014050880278928,45.4153150320053
13.7,-2.67562845668893,2.07542717918024,0.018967923212959,57.4017941951752
13.8,-2.00505177189164,2.0718357984856,0.022559303907596,49.6994614601135
13.9,-1.36561733088238,2.06922983759292,0.025165264800276,48.3512461185455
14,-0.672435946164882,2.06761794617721,0.026777156215989,50.8105635643005
14.1,-0.015348009174282,2.06719750296226,0.027197599430935,38.5428786277771
14.2,0.703315522976925,2.06672299634393,0.027672106049264,27.3400366306305
14.3,1.38832038817724,2.06735885628365,0.027036246109542,10.4792647063732
14.4,2.12688256529835,2.06736882811349,0.027026274279704,-6.36748671531677
14.5,2.78599477881203,2.06719075903613,0.027204343357067,-4.41413857042789
14.6,3.4301567859711,2.06779834304865,0.02659675934455,-10.2461315691471
14.7,4.03897973397093,2.06881320055654,0.025581901836657,-15.2978584170342
14.8,4.46430026097006,2.07031777258133,0.024077329811865,-8.00485461950302
14.9,4.86991783808778,2.07265641195406,0.021738690439133,-18.7495604157448
15,5.2494232314796,2.07572229167514,0.018672810718057,-19.5692449808121
15.1,5.53253265935662,2.07923390993783,0.015161192455361,-31.2353163957596
15.2,5.77772523382049,2.0832164056577,0.011178696735498,-27.8076827526093
15.3,6.01792650930549,2.08722379068416,0.007171311709037,-18.1871831417084
15.4,6.10195988608426,2.09178410632093,0.002610996072268,-18.3384552598
15.5,6.14733108457001,2.09574413627103,-0.001349033877831,2.90374103933573
15.6,6.12428295467614,2.09944514022169,-0.005050037828496,15.2782171964645
15.7,5.8805181770012,2.10360921396603,-0.009214111572838,4.47014644742012
15.8,5.75547901709964,2.10770250222195,-0.013307399828758,13.4687855839729
15.9,5.54494100331019,2.11165478155246,-0.017259679159269,5.4762177169323
16,5.32293992282518,2.11507165867517,-0.020676556281976,-1.98138654232025
16.1,5.13156975326811,2.1180129872789,-0.023617884885709,0.672551151365042
16.2,4.89395007264206,2.12054164988692,-0.02614654749372,0.377555191516876
16.3,4.64474872083047,2.12251679427843,-0.028121691885236,-3.36935743689537
16.4,4.39326982619491,2.12402023372104,-0.02962513132785,-5.05359284579754
16.5,4.03039371872872,2.12586773902015,-0.031472636626957,-14.9472087621689
16.6,3.73501964643594,2.12661008427366,-0.03221498188047,-24.3673086166382
16.7,3.55548785005668,2.12707052496197,-0.032675422568776,-32.3411107063293
16.8,3.35316198069982,2.12656269733477,-0.032167594941579,-49.8457551002502
16.9,3.25717929842267,2.12339501555578,-0.028999913162587,-51.3086199760437
17,3.08608241764114,2.11887881669558,-0.024483714302381,-30.0284713506699
17.1,2.95426491511121,2.11402119673473,-0.019626094341532,-26.2008339166641
17.2,2.76947545224696,2.1082280517638,-0.013832949370607,-21.198433637619
17.3,2.71350317484043,2.10105977580746,-0.006664673414269,-18.1374058127403
17.4,2.58376099540128,2.09259742178972,0.001797680603477,-7.23970308899879
17.5,2.46035278666247,2.08406166219562,0.010333440197573,-5.04262559115887
17.6,2.34815200574266,2.07607371548232,0.018321386910879,9.35477390885353
17.7,2.2446550318335,2.06735918495034,0.02703591744286,20.6976041197777
17.8,2.10468566121425,2.06117491930203,0.033220183091164,40.2976095676422
17.9,2.05009867918515,2.05767602788418,0.03671907450901,63.3115649223328
18,1.77387190818809,2.05519359782082,0.039201504572379,68.0935084819794
18.1,1.54387841019399,2.05316414199159,0.041230960401607,71.0663855075836
18.2,1.24947049725327,2.0517646893812,0.042630413011995,69.1772699356079
18.3,0.88764377456753,2.05173209508783,0.042663007305361,64.1805589199066
18.4,0.559214151607638,2.0534867013807,0.040908401012497,62.6936078071594
18.5,0.248998346886965,2.05669905493846,0.037696047454732,52.7450144290924
18.6,-0.224899970315755,2.06105431810111,0.033340784292085,44.4543033838272
18.7,-0.718432111040753,2.06623894484346,0.028156157549733,36.0658586025238
18.8,-1.26436960478394,2.07284308680088,0.021552015592312,20.9930941462517
18.9,-1.89541737711518,2.08109638309693,0.013298719296262,6.62504881620407
19,-2.50023941055787,2.09012618992604,0.004268912467152,-15.6694069504738
19.1,-3.17201811440638,2.10035104383729,-0.0059559414441,-37.1038287878036
19.2,-3.65629876997232,2.11125502019689,-0.016859917803691,-57.9050242900848
19.3,-4.30426783512101,2.12026151515635,-0.025866412763155,-66.0438716411591
19.4,-4.87727157802109,2.1283338214261,-0.033938719032904,-70.2680647373199
19.5,-5.46282320603387,2.13521017984366,-0.040815077450464,-71.6406226158142
19.6,-6.08282868137076,2.14029690003584,-0.045901797642642,-79.4377744197845
19.7,-6.67146393867401,2.1434681825499,-0.049073080156709,-71.1837112903595
19.8,-7.17378720606793,2.14454229154557,-0.050147189152374,-73.2099771499634
19.9,-7.55151321520719,2.1432531703828,-0.048858067989608,-54.6892642974854
20,-7.97563457763674,2.14082786645315,-0.570031539658253,-44.2671358585358
20.1,-8.01274719198499,2.12193103274142,-0.551134705946521,-100
20.2,-8.05929028193374,2.07365657767091,-0.502860250876017,-87.3591363430023
20.3,-8.44975534525829,2.00787892717518,-0.437082600380288,-56.2702238559723
20.4,-8.54322256553506,1.93631029603913,-0.365513969244231,-41.5833473205566
20.5,-8.55644136406763,1.8625024601807,-0.2917061333858,-13.9313504099846
20.6,-8.37126320218959,1.78900391550333,-0.218207588708436,5.26847206056118
20.7,-8.11024344118717,1.72044914004979,-0.149652813254892,22.805118560791
20.8,-7.79795031957666,1.6630220670822,-0.092225740287308,40.6471282243729
20.9,-7.39297867625191,1.61856126439745,-0.047764937602551,44.6202248334885
21,-6.82062111351351,1.58681745088734,-0.016021124092443,51.0855078697205
21.1,-6.17503215492289,1.56565875081171,0.00513757598319,60.7786357402802
21.2,-5.48089429051548,1.55390428280087,0.016892043994025,59.8692059516907
21.3,-4.63442249729297,1.54708684167707,0.023709485117822,38.5269105434418
21.4,-3.83464262082456,1.54369833174767,0.027097995047231,23.8671630620956
21.5,-2.9285664439812,1.54317699564062,0.027619331154277,12.4282240867615
21.6,-1.93725787882614,1.54427911500808,0.026517211786813,-4.97228503227234
21.7,-0.949394584111267,1.54470699366047,0.026089333134429,-11.7707446217537
21.8,-0.082627569836408,1.5463132433407,0.0244830834542,-10.593194514513
21.9,0.832442736513319,1.54955655955139,0.021239767243508,-15.2329072356224
22,1.80396626479114,1.55374540097802,0.017050925816875,-21.4538887143135
22.1,2.68833032059577,1.55885440785368,0.01194191894122,-29.2402505874634
22.2,3.40544881723872,1.56469435665572,0.006101970139176,-23.5196232795715
22.3,4.20384285695714,1.57071887454947,7.74522454263238E-05,-25.3411084413528
22.4,4.88193356347631,1.57647507163774,-0.005678744842843,-28.3960998058319
22.5,5.50112378746253,1.5815847424547,-0.010788415659807,-20.9425091743469
22.6,5.94442371583802,1.58525826120503,-0.014461934410132,-21.4170590043068
22.7,6.38256845156243,1.58712301070964,-0.016326683914744,-10.357978194952
22.8,6.65559296254588,1.58608042620172,-0.015284099406823,-3.11817210167646
22.9,6.80529457306619,1.58379285451731,-0.012996527722411,1.5425231307745
23,6.89267879707677,1.58131818009961,-0.010521853304718,10.8939982950687
23.1,6.85654277984467,1.57896698391267,-0.008170657117771,15.5806213617325
23.2,6.77150684504403,1.57690982630459,-0.006113499509694,14.3084183335304
23.3,6.56344789529334,1.57491055331826,-0.004114226523367,18.3445319533348
23.4,6.3640192445928,1.57309406598855,-0.002297739193653,19.1164404153824
23.5,5.94354707016274,1.57121902620666,-0.000422699411761,18.1577175855637
23.6,5.54090004494472,1.56996988024533,0.000826446549562,16.9190496206284
23.7,5.11931526610445,1.56934201157468,0.001454315220218,8.17618891596794
23.8,4.61417566827559,1.56930721555556,0.001489111239332,9.55399125814438
23.9,4.1449281655527,1.5697898965105,0.0010064302844,-2.35383026301861
24,3.60595718320547,1.57026208915105,0.00053423764385,-7.47678130865097
24.1,3.13162027916436,1.57115036237264,-0.000354035577743,-9.82656627893448
24.2,2.64306855281117,1.57306240476096,-0.002266077966061,-17.252916097641
24.3,2.15544758460224,1.57529083796985,-0.004494511174956,-15.1091709733009
24.4,1.7457993356607,1.57764691983311,-0.006850593038214,-15.9341245889664
24.5,1.30318887953925,1.57986277678857,-0.009066449993671,-22.2437813878059
24.6,0.965281482744604,1.58144618224499,-0.010649855450089,-18.1552827358246
24.7,0.604995076043458,1.58234684978126,-0.011550522986368,-22.6146131753921
24.8,0.403109916410197,1.58239317839632,-0.011596851601428,-22.645029425621
