time,hat{D_{u}},hat{D_{v}},hat{D_{w}},hat{D_{q}},hat{D_{r}},x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
30.5,-1.39454672568321,-2.46824668095148,-1.21861203231544,-5.06388278227281,2.39960334316122,-9.68615529426091,-2.32986306609687,-12.4598812596942,-0.001173577256748,-0.013376478231378,-0.004391737905287,-21.5146258473396,30.1511645317078,-10.7398696243763
30.6,-1.0686177376109,-2.33378721307035,-1.14852145258799,-4.82682434220738,2.48855904050302,-9.72025764144844,-2.18477015018765,-12.4832225425107,-0.000508559194516,-0.012936702171072,-0.005183793920594,31.8489372730255,86.1825585365295,14.0767350792885
30.7,-0.849014072286105,-2.18917295154121,-1.07502768557762,-4.03664057944502,2.32603369092041,-9.75256135818456,-2.03853946015517,-12.5068594006752,-0.000579850049266,-0.013534429824635,-0.007741792800254,54.5837819576263,78.2354712486267,-7.2165347635746
30.8,-0.444838975117134,-2.03519089584944,-0.981829176102954,-3.95358971632854,1.81315861620083,-9.78310382759974,-1.89121207208224,-12.5307810908963,-0.001374358253646,-0.012569498947328,-0.010544159171695,-2.44686920195818,26.3796985149384,-31.7527949810028
30.9,-0.339594063438438,-1.87646060094086,-0.889399208496655,-3.54741878575687,1.65036023914288,-9.81170735656598,-1.74398810637097,-12.5548804397101,-0.00169698446173,-0.011365720105692,-0.011566410927191,4.22798171639442,7.07416087388992,-35.7804656028748
31,-0.090107918092282,-1.6900540215123,-0.775962076761803,-3.02615873504021,1.36002092875052,-9.83828942842371,-1.59654902077657,-12.5792478074785,-0.001878720313937,-0.009680153302691,-0.01162565456809,20.1095715165138,-42.8239822387695,-21.8687117099762
31.1,0.06546041591792,-1.49932338012733,-0.676598915384891,-2.30235544978318,1.20297061423384,-9.86253701201568,-1.4493656781065,-12.6038204493906,-0.001432370725851,-0.007744309809824,-0.011267238168217,22.2587794065475,-17.5524264574051,-40.072175860405
31.2,0.174335962252596,-1.30600533411622,-0.557855877713313,-1.91148494263411,0.600415895954627,-9.8845613452039,-1.30104021907354,-12.6288587808847,-0.001818848754017,-0.005062726810545,-0.010117981911943,5.98249211907387,19.9296042323113,8.8436558842659
31.3,0.606860950026392,-1.10217065019175,-0.440714567959755,-1.06959491819912,0.148576385093319,-9.90425977975704,-1.15156977317633,-12.6543804145621,-0.003072075097624,-0.002705502658159,-0.009441329376011,16.1381602287292,65.617847442627,53.1765937805176
31.4,0.638253997945107,-0.89413860486137,-0.313557337427216,-0.508441063666367,-0.489275213259511,-9.92151699548168,-1.00181397608211,-12.6802040466379,-0.004348705357838,6.3881641229445E-05,-0.007659376733256,-21.4305579662323,-21.7186450958252,-47.1660226583481
31.5,1.11248186001138,-0.677081102538205,-0.185073812851033,0.238544983596048,-0.952410120723926,-9.93619330983607,-0.852778088181868,-12.7061159246789,-0.004656837807517,0.001296143457596,-0.004946871631526,-63.7530386447907,-40.6756848096848,5.91793730854988
31.6,0.89261813824334,-0.454267947912709,-0.065881270554818,0.556364166396992,-1.44665377961106,-9.94817774645461,-0.704717264086603,-12.7318558561202,-0.003741416091201,0.001163586560354,-0.001672674007284,-9.39621776342392,5.79365566372871,5.15239648520947
31.7,0.797323151166387,-0.234490444879269,0.047459602583809,1.28730757375935,-1.91406809955782,-9.95756623751936,-0.555241256264176,-12.7577568793616,-0.004067997728716,0.003250922752018,0.002223630643967,-22.8488028049469,26.1469841003418,14.1395777463913
31.8,1.0534564546797,-0.014771195469686,0.195638132543742,1.76470570860577,-2.36594297081591,-9.96422459148152,-0.407013044969704,-12.7835178558071,-0.00300990133304,0.006019458235418,0.004804294745711,13.140332698822,12.8290176391602,-9.23132076859474
31.9,1.39093464825357,0.203269650135664,0.327252945050513,2.48225197377966,-2.98057428461046,-9.96830295485551,-0.259035249567351,-12.8093862083983,-0.001645526288652,0.007886047385304,0.007355245781361,19.5985168218613,-37.5083476305008,-2.98683997243643
32,1.42395036509744,0.415071276405813,0.439065171335347,3.1262378659814,-3.56609022204809,-9.96994482109103,-0.110869508759534,-12.8353693866878,-0.000454727219715,0.009714792369165,0.008841326485672,19.4818094372749,-37.3689711093903,-10.709835588932
32.1,1.71050687916912,0.629220243489703,0.562106833475902,3.74463137477164,-3.85488173434469,-9.96928321661854,0.038438450202405,-12.861653695527,-0.00044784116471,0.012423403209971,0.010535452991786,17.2003895044327,6.50537014007568,-4.80732582509518
32.2,2.16068938846959,0.83621225770672,0.671490921115858,4.04461624599133,-4.15227302812925,-9.96637250511927,0.188165702433949,-12.8881509739439,-0.000930389250598,0.014763340312377,0.010400522581911,-38.751345872879,-1.18211070075631,-11.9204871356487
32.3,1.7528623984746,1.03060238345523,0.77823424120802,4.61160856460931,-4.18604391352637,-9.96141214484607,0.337266667306467,-12.9146495558134,-0.000860053723797,0.01685377391058,0.00940769756722,17.9499670863152,0.541014177724719,-11.3305017352104
32.4,2.09723873180819,1.224319702027,0.880828303175359,4.83994602444363,-4.25179028373516,-9.95453195488517,0.486185688137089,-12.9412017209505,-0.000700768542697,0.018820743648028,0.008245493548063,-32.2283387184143,-16.9196560978889,4.79721352458
32.5,2.20551815452649,1.40811652416376,0.969229031619683,5.22233625419922,-4.42318466437986,-9.94575709937548,0.635298871236111,-12.9678285998954,-0.000843994095358,0.020286113264296,0.006094436951856,-7.05671012401581,5.6048795580864,-4.48580384254456
32.6,2.25771295533765,1.58189758451544,1.05407440917662,5.37342223503466,-4.45935113306148,-9.93516443467392,0.784321795315081,-12.9944385177179,-0.001005914953801,0.021762786917661,0.003372037661088,13.129822909832,14.8027464747429,4.95747625827789
32.7,2.42532728045835,1.74318905873523,1.12902330953343,5.5704023361342,-4.24677283488716,-9.92276818593104,0.933554349562496,-13.0210695686274,-0.001499909046918,0.022890581703117,0.000110745705522,-3.27633172273636,-5.21152839064598,-6.45209401845932
32.8,2.3035417827037,1.89253722693905,1.19066908656055,5.66502532542288,-4.05694150603067,-9.90862012839135,1.08262963173446,-13.0476012116698,-0.001953025175046,0.023320959012755,-0.003961486186518,-5.8948528021574,-12.0210230350494,-1.91423818469048
32.9,2.84466982242818,2.02759100656441,1.23908212299876,5.87868016764023,-3.88320591021892,-9.89273714511824,1.23164761180383,-13.0740079607193,-0.002467363919279,0.023789395862262,-0.007836530835917,26.8048614263535,-13.2124021649361,-8.72801393270493
33,2.78519869816033,2.15074040073912,1.27869267305796,5.84143439258492,-3.4421412897665,-9.87509670511858,1.38045700422952,-13.1002483881958,-0.002900796050728,0.02351892506808,-0.010786506011472,-6.67827948927879,-5.3550697863102,4.59332764148712
33.1,2.84836313505183,2.26493231246305,1.30372695722198,5.56249179731061,-2.95310434422091,-9.85564137827781,1.52845513428903,-13.1261626554772,-0.002662408428405,0.022660433156337,-0.013107009362461,8.96325930953026,-10.7630603015423,-15.7346457242966
33.2,3.26930412573501,2.35764463314997,1.32410820653561,5.62887879993927,-2.68191961050022,-9.8341975935123,1.67568303537016,-13.1517060089948,-0.001836324520071,0.02069893323734,-0.014132088732339,0.376720423810184,14.7805839776993,-8.68874341249466
