time,hat{D_{v}},hat{D_{r}},psi,e_{psi},tau_{r}
2.1,-7.65116791062129,-10.3718836342014,1.03398587987588,0.013211671320718,14.170053601265
2.2,-7.75205682030483,-9.84220095925071,1.03576569947951,0.01143185171709,8.02228376269341
2.3,-7.81609319598357,-9.2212758988405,1.03733833684705,0.009859214349546,13.0301788449287
2.4,-7.83405031635743,-8.59049580493533,1.03887020207426,0.008327349122339,11.8178561329842
2.5,-7.82782635113675,-7.92125384190498,1.0402419390144,0.006955612182194,4.91971708834171
2.6,-7.77813190620302,-7.19420367386709,1.04139681387992,0.005800737316675,8.06477665901184
2.7,-7.68606447803837,-6.49376444567554,1.04251260601382,0.004684945182776,4.13835756480694
2.8,-7.56932720479034,-5.77290876750914,1.04358396914271,0.003613582053889,2.69877184182405
2.9,-7.42015993356665,-5.08233038048726,1.04467984448929,0.002517706707303,-0.302591547369957
3,-7.23720578257227,-4.37905765429165,1.04580315443854,0.001394396758054,0.789105519652367
3.1,-7.02716752975399,-3.72306482103741,1.0469842366034,0.0002133145932,2.63596493750811
3.2,-6.79019427245936,-3.0890733171452,1.04821047839068,-0.001012927194079,-2.03860979527235
3.3,-6.52520910412223,-2.4583110508646,1.04947800613192,-0.002280454935326,-7.26729333400726
3.4,-6.24096681185891,-1.92226592476487,1.05077327268084,-0.003575721484245,-8.63688737154007
3.5,-5.93451454085005,-1.37803739148573,1.05204234539931,-0.004844794202709,-9.41097736358643
3.6,-5.61049362851356,-0.873550447453843,1.05322148440011,-0.006023933203512,-13.0199551582336
3.7,-5.26983376592424,-0.44817515231896,1.05434550549637,-0.007147954299777,-12.4528728425503
3.8,-4.91763595078254,-0.025648888160319,1.05540685353318,-0.008209302336581,-17.4869388341904
3.9,-4.55509589361352,0.372406516916681,1.05619329282412,-0.008995741627526,-13.2204189896584
4,-4.18310026035808,0.739473696811877,1.05672961219124,-0.009532060994638,-15.992034971714
4.1,-3.80636089797591,1.04542480030211,1.05698019264431,-0.009782641447714,-12.0096296072006
4.2,-3.42596878383594,1.34954164421899,1.0569331213209,-0.009735570124302,-13.2379949092865
4.3,-3.04647696283393,1.64959180196123,1.05667115117627,-0.009473599979673,-13.236740231514
4.4,-2.67087351005587,1.90615426518269,1.05597025603802,-0.008772704841418,-12.5468507409096
4.5,-2.29733967758222,2.23024757082103,1.05478298756492,-0.007585436368325,-7.0269912481308
4.6,-1.93104794204502,2.49911153979592,1.05324782053045,-0.006050269333856,-7.31410458683968
4.7,-1.57396405849492,2.77700264014553,1.05145867126621,-0.004261120069615,-0.107125611975789
4.8,-1.22891344953806,3.05436074034457,1.04947279838403,-0.002275247187429,0.406809896230698
4.9,-0.896258252469753,3.37761778111774,1.04744975883465,-0.000252207638051,5.77451027929783
5,-0.579734420087769,3.66960657477182,1.04546068481736,0.001736866379238,8.64585191011429
5.1,-0.279662064712633,3.98958217411666,1.04352915024123,0.003668400955368,12.3088732361794
5.2,0.002015514295271,4.31757819406814,1.04178857303637,0.00540897816023,14.6064281463623
5.3,0.264393095945831,4.63829455261994,1.04041575321793,0.006781797978672,11.1833050847054
5.4,0.504592796718656,4.91133772876652,1.03942979951142,0.007767751685179,11.5407183766365
5.5,0.724709534818748,5.28946838724789,1.03899125606649,0.008206295130103,13.8910248875618
5.6,0.920462721749148,5.58170818696377,1.03922926341215,0.007968287784452,9.43271666765213
5.7,1.09482244257146,5.90904523760808,1.04010842652914,0.007089124667453,8.24322402477264
5.8,1.24420598213382,6.12827563809702,1.04168559397243,0.005511957224172,3.7175677716732
5.9,1.37000254678928,6.37469299649772,1.04366112310573,0.003536428090864,-0.918272137641907
6,1.47274838657065,6.58795590159198,1.04604464437533,0.001152906821266,-2.92795300483704
6.1,1.55303826843084,6.73850488579982,1.04871757571333,-0.001520024516732,-4.2009174823761
6.2,1.61175614394386,6.87586951328501,1.0516292834014,-0.004431732204802,-11.2023450434208
6.3,1.65029010425861,6.94888089073327,1.05446983958392,-0.007272288387322,-12.5915795564651
6.4,1.66257423308575,6.93514025394367,1.05737454098022,-0.010176989783624,-24.2150008678436
6.5,1.65932509568617,6.89160041963033,1.0605589323895,-0.013361381192899,-26.9101142883301
6.6,1.64258170460508,6.75251513629706,1.06408944164843,-0.016891890451833,-26.8425017595291
6.7,1.60041194386949,6.54559736968558,1.06736441402691,-0.020166862830311,-30.1706075668335
6.8,1.5467214447503,6.30223946283461,1.07027126513437,-0.02307371393777,-40.5242055654526
6.9,1.47616551518952,5.96369437635659,1.07263735673335,-0.025439805536749,-39.1251862049103
7,1.39566587468044,5.54301477358813,1.07418128375571,-0.026983732559108,-35.3327333927155
7.1,1.3103375975052,5.09783748361067,1.07468090696628,-0.02748335576968,-36.0598027706146
7.2,1.20896749592669,4.53568587661936,1.07410224557699,-0.026904694380392,-26.8098741769791
7.3,1.10822380579087,3.96754227176533,1.07240369041782,-0.025206139221221,-33.3194375038147
7.4,1.00463329330367,3.34534880013921,1.069818765716,-0.0226212145194,-24.1529762744904
7.5,0.89378134845067,2.70360687037018,1.06685370548313,-0.019656154286532,-22.8539526462555
7.6,0.784650754648203,2.0590069435253,1.06333438097407,-0.016136829777475,-15.6400218605995
7.7,0.679171308692432,1.34845486797017,1.05988785584391,-0.012690304647308,-10.4612745344639
7.8,0.573339952627455,0.625814077954896,1.05691240629519,-0.009714855098593,-9.50280353426933
7.9,0.472888504456222,-0.040196871881585,1.05425262003744,-0.007055068840842,-0.478576589375734
8,0.378167457661197,-0.722502898074837,1.05183677575415,-0.004639224557556,-1.84877309948206
8.1,0.292565185429707,-1.33739196471224,1.04950848536192,-0.002310934165326,3.37352640926838
8.2,0.218262527625055,-1.9018157365777,1.04730187521281,-0.000104324016216,3.97683717310429
8.3,0.155526553282073,-2.4990052422172,1.04520743321926,0.001990117977339,8.98657441139221
8.4,0.104208376836541,-2.97854623916639,1.04317653352607,0.00402101767053,15.4729947447777
8.5,0.0713134217881,-3.38915184584905,1.04122770273802,0.005969848458576,14.8172900080681
8.6,0.057505792651958,-3.75053844806949,1.03928292170342,0.007914629493176,13.2505431771278
8.7,0.054309318479409,-3.96064118407272,1.03714143961744,0.010056111579157,12.7696111798286
8.8,0.064721942371573,-4.16313850294059,1.03491568789307,0.012281863303528,21.3097646832466
8.9,0.094148449726848,-4.24025848365728,1.03291613990069,0.01428141129591,22.3261386156082
9,0.144165958416434,-4.26506288315832,1.03123647440976,0.015961076786838,22.3898813128471
9.1,0.222052977287384,-4.2185454226252,1.02983085146696,0.017366699729643,30.4040759801865
9.2,0.309638892460198,-4.04121479105711,1.02879295546794,0.018404595728653,31.8087965250015
9.3,0.412391752172098,-3.85231908771208,1.0279146251911,0.019282926005501,30.9290289878845
9.4,0.535096402845311,-3.55498814753924,1.02709406290291,0.020103488293687,36.5066736936569
9.5,0.676190691440509,-3.20745866813091,1.02620757760321,0.020989973593389,40.3870463371277
9.6,0.836451674940726,-2.8584996287552,1.02548425637424,0.021713294822354,39.2788290977478
9.7,1.00924410628582,-2.44377870788934,1.02484554716981,0.022352004026786,36.6905450820923
9.8,1.19906826981934,-1.99396815390265,1.02439147308051,0.022806078116089,39.260059595108
9.9,1.40071292822364,-1.5384123708206,1.02414440764055,0.023053143556048,38.7163788080215
10,1.61507635752747,-1.10596874545144,1.02421661558479,0.02298093561181,39.7668570280075
10.1,2.01742916283564,-0.950933051551696,1.04249821484314,1.05189688755006,99.996829032898
10.2,2.24906199718311,-0.491764317099767,1.08912242603372,1.00527267635947,99.9553143978119
10.3,2.42691735549699,0.021896665913673,1.15244233134034,0.941952771052852,99.9333739280701
10.4,2.626247355221,0.415758285884846,1.22536449421153,0.869030608181668,99.9654293060303
10.5,2.85363701643151,0.695535934650659,1.30454858775322,0.78984651463997,99.8919904232025
10.6,3.09636089700758,0.884432128086725,1.38870526688239,0.705689835510804,99.9455213546753
10.7,3.34423489052705,0.987972876738872,1.47743793201274,0.616957170380451,99.967634677887
10.8,3.59089511124693,1.02057679333346,1.57065016205657,0.523744940336625,99.9415159225464
10.9,3.83244753109581,1.00830912120241,1.66823986293773,0.42615523945547,99.8758494853973
11,4.06610184073344,0.628895984870072,1.7700107409844,0.324384361408792,99.9370038509369
11.1,4.28672663381679,0.624168360229934,1.87556726732507,0.218827835068123,99.7102618217468
11.2,4.29754259253882,0.609722581876436,1.9744218196706,0.119973282722597,-3.28531004488468
11.3,4.46817451301681,0.284181003024733,2.04126526529385,0.05312983709935,-37.052521109581
11.4,4.70719927962292,-0.174005885993465,2.08080629878488,0.013588803608314,-39.288529753685
11.5,4.92696571276857,-0.629162037246533,2.1028426117124,-0.008447509319201,-37.1232271194458
11.6,5.11798295367588,-1.08240018172245,2.11446950284667,-0.020074400453475,-33.2399934530258
