time,hat{D_{v}},psi,e_{psi},tau_{r}
24,0.788814667997819,1.57250243268388,-0.001706105888988,-12.5636875629425
24.1,0.801762090089174,1.57705756212488,-0.00626123532998,-18.2051062583923
24.2,0.807817718489617,1.58230728334701,-0.011510956552111,-25.3002852201462
24.3,0.832266976904998,1.58797271362586,-0.017176386830965,-36.5778505802155
24.4,0.861625241967904,1.59422011126943,-0.023423784474535,-41.7338848114014
24.5,0.891222887484524,1.59981928175351,-0.029022954958616,-36.5387588739395
24.6,0.924656345541837,1.60377209943835,-0.032975772643449,-34.8209679126739
24.7,0.962704915527732,1.6054385905969,-0.034642263802006,-36.4665418863296
24.8,0.999106578228333,1.60454369075486,-0.033747363959962,-25.8508116006851
24.9,1.03311757790926,1.6007684266677,-0.029972099872806,-21.2779566645622
25,1.07657096034495,1.59400755673654,-0.023211229941647,-10.6205880641937
25.1,1.12997208677579,1.58546085533772,-0.014664528542825,1.16323484107852
25.2,1.17266246707889,1.57740650256923,-0.006610175774328,10.3061310946941
25.3,1.20558321128415,1.57018907879969,0.000607247995202,25.4391372203827
25.4,1.23401049129984,1.56383550735959,0.006960819435302,25.0644385814667
25.5,1.26019960303528,1.5581277285992,0.012668598195697,38.3492887020111
25.6,1.28548062525059,1.55326961299467,0.017526713800225,48.3534574508667
25.7,1.28974936598416,1.54942030643099,0.021376020363905,49.0428566932678
25.8,1.2920407991445,1.54650308237072,0.024293244424181,47.3034858703613
25.9,1.28194650830155,1.5444316489432,0.026364677851701,52.3300588130951
26,1.27175557766813,1.54344373751127,0.027352589283628,58.6817741394043
26.1,1.24618597781515,1.54378109637378,0.027015230421115,46.5389966964722
26.2,1.20183912793197,1.54505829053074,0.02573803626416,39.0264689922333
26.3,1.15470147911966,1.54735002493646,0.02344630185844,34.7086817026138
26.4,1.10031915086778,1.55066601899848,0.020130307796414,20.6838011741638
26.5,1.03001631318917,1.55476701510983,0.016029311685069,19.5356458425522
26.6,0.952240955878374,1.55984942767349,0.010946899121408,16.4610296487808
26.7,0.863710734341835,1.56556149987457,0.005234826920326,5.32728508114815
26.8,0.758989336783996,1.57176878189771,-0.000972455102813,-11.4799864590168
26.9,0.653617830435341,1.57834399873338,-0.00754767193848,-24.6005967259407
27,0.542449620014876,1.58642643884213,-0.01563011204723,-38.6925101280212
27.1,0.416258526667362,1.59691583252485,-0.026119505729958,-56.3645422458649
27.2,0.268260344049081,1.60904719643705,-0.038250869642158,-68.2010591030121
27.3,0.120451522973306,1.62163011178874,-0.050833784993848,-70.2049374580383
27.4,-0.035340757213651,1.63488855026374,-0.064092223468846,-79.5119941234589
27.5,-0.194153977342069,1.64842929601005,-0.077632969215153,-85.8945727348328
27.6,-0.370841768338508,1.6613402243134,-0.090543897518504,-87.0034873485565
27.7,-0.558986693507609,1.67093041413124,-0.100134087336341,-87.3982131481171
27.8,-0.755418026384522,1.6735945705056,-0.102798243710708,-77.9087781906128
27.9,-0.944963781762187,1.66644557034341,-0.09564924354851,-63.3395969867706
28,-1.11467042715979,1.64918376049344,-0.078387433698542,-46.1767345666885
28.1,-1.26319071279723,1.62517602738544,-0.054379700590544,-13.1200298666954
28.2,-1.40653104166213,1.59848078256284,-0.027684455767947,16.338999569416
28.3,-1.56270975389553,1.57196054469256,-0.001164217897664,40.3691709041595
28.4,-1.72225648922566,1.54500067858613,0.025795648208767,89.6877408027649
28.5,-1.89161901755596,1.51737893052179,0.053417396273111,93.4278726577759
28.6,-2.06604214036993,1.48690158599808,0.083894740796822,90.4531896114349
28.7,-2.23810491406874,1.44876846860557,0.122027858189329,87.8482460975647
28.8,-2.36454106051869,1.40196683420789,0.168829492587003,87.9773676395416
28.9,-2.44749543804917,1.35094467083211,0.219851655962783,88.5378122329712
29,-2.49642671408295,1.30335200138571,0.267444325409185,86.7470026016235
29.1,-2.53952513885314,1.26814733172659,0.302648995068308,86.5999579429626
29.2,-2.55606565458566,1.25568283913392,0.315113487660979,92.6998198032379
29.3,-2.51579483666262,1.27950952935997,0.291286797434928,98.8641977310181
29.4,-2.53965051825567,1.34627590100756,0.224520425787338,89.229953289032
29.5,-2.83081835599926,1.43914976088747,0.131646565907423,1.72418709844351
29.6,-3.087861050954,1.52158032413772,0.049216002657174,-81.0625553131104
29.7,-3.05736835920092,1.58156381031311,-0.010767483518209,-84.723037481308
29.8,-2.98749675647628,1.63241788943788,-0.061621562642979,-100
29.9,-2.94456512523386,1.68088689396289,-0.110090567167993,-100
