time,hat{D_{u}},u,e_{u},tau_{u}
2.8,-9.74580151539701,1.44224234300266,0.057757656997342,22.837133705616
2.9,-8.96486855221712,1.44643670108126,0.05356329891874,22.1144706010818
3,-8.1622115461602,1.45246340928947,0.047536590710532,18.3103933930397
3.1,-7.33707161188538,1.45772614312361,0.042273856876393,19.9712321162224
3.2,-6.43654597279749,1.4627891042324,0.037210895767596,18.678691983223
3.3,-5.556964238961,1.46789218620947,0.032107813790526,16.4059832692146
3.4,-4.65006832330396,1.47340401505007,0.026595984949935,16.6895642876625
3.5,-3.78065837959976,1.47852177735443,0.021478222645568,14.5391643047333
3.6,-2.92630480827624,1.48440076523804,0.015599234761956,13.1732925772667
3.7,-2.07744447427186,1.48986551278454,0.010134487215463,8.77765938639641
3.8,-1.27685302014308,1.49502819168006,0.004971808319936,12.20463514328
3.9,-0.539035908445596,1.49975740425359,0.00024259574641,8.52019116282463
4,0.17158753741951,1.50379405683758,-0.003794056837576,7.26678520441055
4.1,0.846806642310678,1.50560545361308,-0.005605453613081,4.03963066637516
4.2,1.48500892201868,1.50967883006979,-0.009678830069794,7.36473947763443
4.3,1.99718161091566,1.51105686608849,-0.011056866088495,4.6090841293335
4.4,2.46702413878186,1.5133375271917,-0.013337527191696,7.28861913084984
4.5,2.90175892105221,1.51516802447205,-0.015168024472045,7.67133086919785
4.6,3.24141713815243,1.51628388549521,-0.016283885495211,4.73617203533649
4.7,3.55367642488729,1.51771548177918,-0.017715481779182,4.05043289065361
4.8,3.70732552381296,1.51822360542256,-0.018223605422564,4.48767840862274
4.9,3.88790707320846,1.51833081124121,-0.018330811241207,6.5187893807888
5,4.00083705285818,1.5184978287187,-0.018497828718695,5.29233664274216
5.1,4.05127967076171,1.51761458341901,-0.017614583419009,4.16950359940529
5.2,4.0583008179069,1.51677453560305,-0.016774535603055,4.54600863158703
5.3,3.99005431818914,1.51599976249443,-0.015999762494431,4.04512658715248
5.4,3.87824693933154,1.51474741745215,-0.014747417452147,7.39697515964508
5.5,3.68833120287818,1.51345213086231,-0.013452130862305,7.64300748705864
5.6,3.51115381139975,1.5117654272348,-0.0117654272348,7.05461949110031
5.7,3.3715761368793,1.51009373740984,-0.010093737409844,8.00443291664124
5.8,3.1766787239448,1.50844010989618,-0.008440109896182,5.33394366502762
5.9,2.92113352715037,1.50609230258817,-0.006092302588174,9.94596406817436
6,2.70785182941324,1.50407546834925,-0.004075468349247,8.9291974902153
6.1,2.46976555778354,1.50223579783681,-0.002235797836814,8.14613178372383
6.2,2.2445360060876,1.49978767316584,0.00021232683416,10.8041793107986
6.3,2.04869332816923,1.49883004375174,0.001169956248261,9.20218229293823
6.4,1.86949357654251,1.49663233505536,0.003367664944642,9.19721871614456
6.5,1.70552206130311,1.49570867197314,0.004291328026856,11.117335408926
6.6,1.58503928790474,1.49441892767432,0.005581072325676,11.044292896986
6.7,1.43257418275794,1.49414445090151,0.00585554909849,13.4961858391762
6.8,1.36736784853566,1.4919995048922,0.008000495107801,11.8110880255699
6.9,1.34243249502094,1.49150818854384,0.008491811456156,13.4579807519913
7,1.32914373813984,1.49097470889261,0.009025291107389,9.95572954416275
7.1,1.38221055546407,1.49109905943322,0.00890094056678,11.7704823613167
7.2,1.51042647862606,1.49077664378,0.009223356219999,10.5647720396519
7.3,1.58906182652685,1.49117859816254,0.008821401837462,13.0514100193977
7.4,1.76192723632029,1.49225686552952,0.007743134470482,10.805731266737
7.5,1.9406746183382,1.49382414992868,0.00617585007132,11.7560274899006
7.6,2.17427910331958,1.49521641366386,0.004783586336139,10.4776568710804
7.7,2.41103651686606,1.49720775616133,0.002792243838672,10.0755214691162
7.8,2.63923063495804,1.49884198769001,0.001158012309995,8.94641280174255
7.9,2.95164825928777,1.49989167039488,0.00010832960512,9.3160592019558
8,3.23546124350367,1.50216860356107,-0.002168603561069,7.04976990818977
8.1,3.56012217380364,1.50485028630739,-0.004850286307394,9.62097495794296
8.2,3.83397589893128,1.50644973606362,-0.006449736063619,8.31441059708595
8.3,4.10924665501832,1.50858103893446,-0.008581038934462,5.78457750380039
8.4,4.4309422527247,1.51017775225768,-0.010177752257682,5.37667796015739
8.5,4.71110968153532,1.51167968890155,-0.011679688901548,6.64652585983276
8.6,4.9297453514464,1.51308447456719,-0.013084474567189,7.05918148159981
8.7,5.16230961529908,1.51555886596356,-0.015558865963559,6.88849985599518
8.8,5.32151194081307,1.51692147268904,-0.016921472689039,4.12400588393211
8.9,5.45694306708307,1.51827019843036,-0.01827019843036,6.39448016881943
9,5.58437192626006,1.51981999326975,-0.019819993269753,3.93395386636257
9.1,5.63649348720038,1.52053886038527,-0.020538860385267,3.97730097174644
9.2,5.61498976904217,1.5208037084262,-0.020803708426205,2.22178883850574
9.3,5.54716739946452,1.52108753654815,-0.021087536548147,2.7572950348258
9.4,5.44040237696823,1.52070486516988,-0.020704865169875,5.38399256765842
9.5,5.2852431260808,1.52080298842557,-0.020802988425565,1.94314830005169
9.6,5.05813459790903,1.520535717323,-0.020535717323003,0.461973296478391
9.7,4.77549667168764,1.51899930654179,-0.018999306541795,5.67685440182686
9.8,4.45062632567909,1.51736036752051,-0.017360367520506,4.3347679078579
9.9,4.03801499441708,1.51568786046525,-0.015687860465249,6.77083805203438
10,3.61331511008395,1.51447307117074,-0.01447307117074,5.81624396145344
10.1,3.12181411716038,1.86936525305716,0.630634746942844,99.8432457447052
10.2,2.4640021941823,2.19435494785597,0.305645052144026,95.741081237793
10.3,1.70252331933918,2.39553189231706,0.104468107682938,57.5883269309998
10.4,1.29051605000133,2.46868211882781,0.031317881172189,44.474333524704
10.5,0.753176879038828,2.49149280380021,0.008507196199789,35.9629601240158
10.6,0.186919910549147,2.49713077154546,0.002869228454537,35.4501008987427
10.7,-0.419142781953381,2.49636695088645,0.003633049113555,34.3818873167038
10.8,-1.07042446927884,2.49417113859082,0.005828861409183,36.128968000412
10.9,-1.72055461124206,2.49047708716124,0.009522912838764,35.9804272651672
11,-2.32831377880066,2.48758411129933,0.012415888700673,36.6794794797897
11.1,-2.97433110613821,2.4845580446387,0.015441955361301,39.3163561820984
11.2,-3.58095833837947,2.48097777567473,0.019022224325275,39.494401216507
11.3,-4.12828486655474,2.47834655356242,0.021653446437584,38.7468069791794
11.4,-4.61590949781104,2.47544847275231,0.024551527247689,42.3027366399765
11.5,-5.04884766163688,2.47283000516377,0.027169994836229,38.7905389070511
11.6,-5.48987764994137,2.47095133631085,0.029048663689145,40.6058549880981
11.7,-5.83897699528566,2.47017493541488,0.029825064585118,43.171289563179
11.8,-6.14375754306665,2.46877026803788,0.031229731962116,40.8649861812592
11.9,-6.32787057836779,2.46715316385965,0.032846836140351,44.4892346858978
12,-6.51056828086242,2.46661315690368,0.033386843096321,38.4568572044373
12.1,-6.59532533355804,2.4657947089563,0.0342052910437,42.7471250295639
12.2,-6.59463887729432,2.46529437916414,0.034705620835857,40.805059671402
12.3,-6.53547626277631,2.46444386732706,0.035556132672936,37.8631204366684
12.4,-6.42623616268518,2.46602749483286,0.033972505167142,42.4455493688583
12.5,-6.20366553460922,2.46765576873964,0.032344231260355,41.5709525346756
12.6,-5.91364649434261,2.46886397767639,0.031136022323609,39.9164408445358
12.7,-5.55656602212826,2.46997515501556,0.030024844984439,37.934273481369
12.8,-5.17660122136212,2.47231619051807,0.02768380948193,39.6429300308228
12.9,-4.72445917481447,2.47427609304536,0.025723906954642,39.9219810962677
13,-4.21275771721067,2.47699110518832,0.023008894811676,40.3187453746796
13.1,-3.65001719720845,2.47980462336554,0.02019537663446,38.5787397623062
13.2,-3.05818873315886,2.48321727341363,0.016782726586366,39.4430547952652
13.3,-2.41405731967817,2.48680895526697,0.013191044733026,35.7683300971985
13.4,-1.76469723460009,2.48945433490391,0.010545665096089,36.0937416553497
13.5,-1.08113409563816,2.49293483260707,0.00706516739293,33.5348784923553
13.6,-0.416537095299177,2.49760898792606,0.002391012073936,34.7937077283859
13.7,0.264805054777095,2.50072795554992,-0.000727955549924,34.2960208654404
13.8,0.923097190596884,2.50463481968972,-0.004634819689719,32.210448384285
13.9,1.61332414055927,2.50814894090876,-0.008148940908764,31.021636724472
14,2.20030240490916,2.51172938355057,-0.011729383550572,32.2311341762543
14.1,2.80500758532844,2.51436009492293,-0.014360094922934,30.1471054553986
14.2,3.38521898117806,2.51702721982982,-0.01702721982982,29.4950485229492
14.3,3.87831053358802,2.52003722455899,-0.020037224558987,28.3784538507462
