time,desired_D_v,hat{D_{v}},desired_D_r,hat{D_{r}},desired_psi,psi,e_{psi},tau_{r}
11.1,4.26338223559128,4.14773743155982,0.600918155612117,0.612986019315699,2.0943951023932,1.97157366381392,0.122821438579278,29.3750823228932
11.2,4.47799761379392,4.31159495267955,0.319643349654726,0.503871782995965,2.0943951023932,2.02823150562597,0.066163596767226,-8.88033752081564
11.3,4.67917751721033,4.54229681393936,-0.024987092486898,0.277249405973225,2.0943951023932,2.06199977387579,0.032395328517409,4.60927497328016
11.4,4.86493672496667,4.76888777409625,-0.42531506387599,-0.102394639523925,2.0943951023932,2.08015280687631,0.01424229551689,2.8987081786713
11.5,5.03337154372468,4.97589337571019,-0.872243398816669,-0.487917666522021,2.0943951023932,2.08898788397804,0.005407218415157,-3.24747822693253
11.6,5.18267557527775,5.14754227627736,-1.35544730563645,-0.989836680285977,2.0943951023932,2.09317030018942,0.001224802203778,-2.11887039006467
11.7,5.31115476694734,5.29266077622585,-1.86361476695836,-1.56069587057707,2.0943951023932,2.09488420841275,-0.00048910601956,5.06333227342245
11.8,5.4172416265644,5.40907821261713,-2.38471010212219,-2.04787779147731,2.0943951023932,2.09565265553338,-0.00125755314019,4.69059556270944
11.9,5.49950849053815,5.49411913455217,-2.90625432901213,-2.57966419955482,2.0943951023932,2.09598653344091,-0.001591431047714,0.736455566191576
12,5.55667974109475,5.5580060387087,-3.41561556302052,-3.07453061665582,2.0943951023932,2.09622220989824,-0.00182710750505,2.86700552075343
12.1,5.5876428771489,5.59373978647343,-3.90030245907165,-3.63990084365862,2.0943951023932,2.09652455743391,-0.002129455040713,6.47270173863429
12.2,5.59145835238498,5.59743565878863,-4.34825364416508,-4.05883508239412,2.0943951023932,2.09656340760815,-0.002168305214952,5.23387741733813
12.3,5.56736810389677,5.57296287472571,-4.74811620403147,-4.42805722864318,2.0943951023932,2.09657382849554,-0.002178726102348,-2.88345455614876
12.4,5.51480270508771,5.51930187274359,-5.08950657508444,-4.82981481517731,2.0943951023932,2.0966657214635,-0.002270619070302,2.95807492847621
12.5,5.43338708738483,5.4352222168414,-5.3632476444473,-5.14231599877044,2.0943951023932,2.0966097658946,-0.0022146635014,0.569199174739562
12.6,5.32294478658058,5.32503804827151,-5.56157646485925,-5.47028433530777,2.0943951023932,2.09656736255117,-0.002172260157979,8.14329225569218
12.7,5.18350068120027,5.18539724182094,-5.67831773232055,-5.54720414597274,2.0943951023932,2.09650537029455,-0.00211026790136,0.864658409540666
12.8,5.01528220210454,5.01450261088906,-5.70901903358835,-5.61989582905906,2.0943951023932,2.09649740446376,-0.002102302070566,6.06885570863622
12.9,4.81871900448442,4.81696818060019,-5.65104482629717,-5.62642784692284,2.0943951023932,2.09631966415697,-0.001924561763776,7.11788125239249
13,4.59444110539534,4.59717753945471,-5.50362714236626,-5.59986867682652,2.0943951023932,2.09622910114074,-0.001833998747541,11.3130074061604
13.1,4.34327550191213,4.34449083886461,-5.26787207950251,-5.40769515769851,2.0943951023932,2.09613552210338,-0.001740419710187,3.72138420330655
13.2,4.0662412967759,4.07045308001034,-4.94672223892005,-5.12567863965474,2.0943951023932,2.0961912947199,-0.001796192326702,4.02305734509669
13.3,3.7645433699523,3.77294294593225,-4.54487635235067,-4.77268703518706,2.0943951023932,2.09657919812259,-0.002184095729395,2.93264173208075
13.4,3.43956464574034,3.44513506194092,-4.06866839074788,-4.33019119504206,2.0943951023932,2.09697861307133,-0.002583510678139,1.09710487726443
13.5,3.09285701587238,3.10081873141868,-3.52590943448383,-3.83419734531632,2.0943951023932,2.09717280666519,-0.002777704271991,3.13709192083767
13.6,2.72613098934727,2.7329398929427,-2.92569648561394,-3.27504288037088,2.0943951023932,2.09750938371647,-0.003114281323279,2.48182789985802
13.7,2.34124414945791,2.35160030550031,-2.27819319449615,-2.69294478654235,2.0943951023932,2.09772746995295,-0.003332367559755,2.82370992659896
