time,hat{D_{w}},hat{D_{q}},theta,e_{theta},tau_{q}
6.6,1.29120471000908,0.769148175026117,0.175649188010911,-0.001116262811478,19.4087600667227
6.7,1.3138413447189,0.478227078084135,0.175640069847461,-0.001107144648028,19.0235663064679
6.8,1.32360395618832,0.251037704241836,0.175632817231239,-0.001099892031807,21.0888079531068
6.9,1.30900245621856,-0.03520682809746,0.175647533223001,-0.001114608023568,22.1295951342384
7,1.2785923197779,-0.221962958078366,0.175665948921943,-0.00113302372251,24.0458500678348
7.1,1.24266314146855,-0.35219331384827,0.175690594327562,-0.001157669128129,20.2734886586778
7.2,1.20512910355768,-0.505943593962995,0.175683915545835,-0.001150990346402,18.4351876354059
7.3,1.16709791972632,-0.615516541568322,0.175690562994246,-0.001157637794813,20.7910346370616
7.4,1.12498659155676,-0.666925056583512,0.17570246219518,-0.001169536995747,19.0220427948304
7.5,1.06638304525269,-0.793580954036515,0.175679146971983,-0.00114622177255,23.2779639410589
7.6,0.99919907518717,-0.75915867004215,0.175711876841932,-0.001178951642499,19.1654335847837
7.7,0.929243624995208,-0.792599091486357,0.175706424089384,-0.001173498889951,18.1909311508697
7.8,0.858188234093087,-0.781556473587563,0.175650634722329,-0.001117709522896,25.195374594544
7.9,0.797861454337459,-0.815574094379575,0.175637208080205,-0.001104282880772,22.1790217009431
8,0.742327753870389,-0.799020598029454,0.175675572471539,-0.001142647272106,20.2133158541673
8.1,0.679673932640566,-0.771375694198756,0.175688347936843,-0.00115542273741,20.7127920769884
8.2,0.610378151967356,-0.763714075353624,0.175674505202954,-0.001141580003521,17.327399313715
8.3,0.542777404388481,-0.690886676574701,0.175701547178083,-0.00116862197865,20.8485159280548
8.4,0.483176286313324,-0.654829522786977,0.175725630297614,-0.001192705098181,20.1006109325274
8.5,0.439102603502046,-0.601365624710108,0.17568899109053,-0.001156065891097,20.3341538298569
8.6,0.403773974721725,-0.591179324519322,0.175703079959433,-0.00117015476,22.2709860338089
8.7,0.365451811771068,-0.602067889492283,0.175731780598704,-0.001198855399271,19.5597870963023
8.8,0.32443195854648,-0.579522829944083,0.175793939816278,-0.001261014616846,19.5377874192538
8.9,0.288527710471517,-0.549894945231778,0.175785930916967,-0.001253005717534,20.2573675676263
9,0.266112353119191,-0.56625007747639,0.175732388458438,-0.001199463259005,20.4887792384528
9.1,0.261751961203016,-0.586909574383313,0.175698765903239,-0.001165840703807,17.4010729016004
9.2,0.264548158481982,-0.597756770801099,0.175707358071651,-0.001174432872218,23.0211120521541
9.3,0.267992139661222,-0.662700804656457,0.175726726154162,-0.001193800954729,24.367739232963
9.4,0.268573227269381,-0.714324207069687,0.175777424924346,-0.001244499724913,19.4298175880931
9.5,0.274339490126274,-0.789134010019339,0.175733120305138,-0.001200195105705,18.6766607605839
9.6,0.290791560349732,-0.865799639703741,0.175745639679107,-0.001212714479674,23.6079131107349
9.7,0.325623216748182,-0.909305642799678,0.175759407786677,-0.001226482587244,17.8726504551929
9.8,0.367018318026255,-1.03704751341367,0.175774823413761,-0.001241898214328,23.6894425830128
9.9,0.409685659165459,-1.07715693231172,0.17574903680148,-0.001216111602047,24.7796696137959
10,0.446082260404448,-1.1596804222096,0.175738621760896,-0.001205696561463,14.1473984083165
10.1,0.391704362296936,-1.61370243126705,0.187367089724342,0.161698760674524,101.505007401055
10.2,0.484312451042818,-1.36812270704953,0.209402989820934,0.139662860577932,100.961756120364
10.3,0.573326056198694,-1.34550071849543,0.232936468493865,0.116129381905,101.282957564733
10.4,0.644754428831797,-1.38789946227912,0.256180964168574,0.092884886230292,101.387899462279
10.5,0.702644675676126,-1.42799755931437,0.278838269906849,0.070227580492017,101.427997559314
10.6,0.748110685165662,-1.46999714037058,0.300864404096779,0.048201446302087,101.469997140371
10.7,0.7905615983753,-1.55050544305699,0.322195688374149,0.026870162024717,98.6415901617612
10.8,0.878456383712848,-1.60968702501107,0.340084149823297,0.008981700575569,58.9860002345448
10.9,0.946866551393441,-1.42546243218691,0.348168622933599,0.000897227465267,31.4424330666474
11,0.973615561291783,-1.38383674465027,0.349024684632061,4.11657668044629E-05,38.2348285897812
11.1,0.990889065778589,-1.43666952255878,0.347944569092122,0.001121281306744,36.8684837162844
11.2,1.00195970519111,-1.41264628842339,0.347216350353511,0.001849500045355,41.3645846791552
11.3,1.01462611672013,-1.41909256160143,0.347054518757193,0.002011331641673,39.6218074816454
11.4,1.02743780720013,-1.33381117882239,0.347096355428391,0.001969494970475,42.3025690466355
11.5,1.04370042802863,-1.23640349013846,0.347166334389076,0.00189951600979,41.1261533747439
11.6,1.05494922764181,-1.18287184558792,0.347185890457507,0.001879959941359,40.4097048314659
11.7,1.0524277806456,-1.09419632472235,0.347148525420629,0.001917324978236,38.9491002611085
11.8,1.02746308832749,-0.995176378758274,0.347131861885511,0.001933988513354,39.7866540589646
11.9,0.993439495550924,-0.884745709591793,0.347113273576013,0.001952576822853,40.883607856923
12,0.951381532452318,-0.781265152291167,0.347089186277449,0.001976664121417,34.2782827742852
12.1,0.911491515106826,-0.694600439630156,0.347072728312671,0.001993122086194,36.9809396034104
12.2,0.86340002828331,-0.603654341598694,0.347059209638858,0.002006640760008,41.4057904051744
12.3,0.803132808832743,-0.516530656185946,0.347075525011315,0.001990325387551,38.9481393330963
12.4,0.725543976135144,-0.404832187071159,0.34711478009647,0.001951070302396,39.7950206426528
12.5,0.639485807123106,-0.369558148403777,0.347115672176498,0.001950178222368,41.7465959119994
12.6,0.54072354999278,-0.320363581015001,0.347125552858057,0.001940297540809,44.1977178452743
12.7,0.435414209326832,-0.270831423836778,0.347164113632501,0.001901736766365,41.6164873419581
12.8,0.32315926030409,-0.228419919939345,0.347173601539317,0.001892248859548,39.3110752305701
12.9,0.204086527774405,-0.22515002615927,0.347205875020462,0.001859975378404,39.2559343946743
13,0.079136445870599,-0.199680665786158,0.347184436690948,0.001881413707918,37.8841928041529
13.1,-0.050098330595552,-0.186973494818624,0.347189750777857,0.001876099621009,37.8499623959569
13.2,-0.18196845193845,-0.228548709502213,0.347160836630117,0.001905013768749,37.7669072786474
13.3,-0.318047862617426,-0.234543672983356,0.347169492667441,0.001896357731425,39.1556823172018
13.4,-0.456572094236008,-0.288377887921019,0.347183775432306,0.00188207496656,41.018285042958
13.5,-0.599580154923302,-0.377157560849687,0.34715013697925,0.001915713419615,38.0645992675071
13.6,-0.748422775481176,-0.437227190132226,0.347188926589733,0.001876923809133,39.5445647841645
13.7,-0.895084649820122,-0.520850495344344,0.347241621340582,0.001824229058284,40.6762314596235
13.8,-1.03330686857594,-0.563012265844442,0.347181321511305,0.001884528887561,37.9568265911771
13.9,-1.17101062449512,-0.670047444192963,0.346988117100137,0.002077733298729,39.8844796837254
14,-1.30360889627186,-0.733632573401525,0.346849828373258,0.002216022025608,39.9327046959754
14.1,-1.42680262696584,-0.799652814715847,0.346783565811432,0.002282284587433,41.7637853620944
14.2,-1.54136404750899,-0.863928821387928,0.346670933668298,0.002394916730568,39.3164944914014
14.3,-1.64340142545509,-0.97715571438462,0.346528910218366,0.0025369401805,40.5382247260729
14.4,-1.73798583072708,-1.02937772737193,0.346425062520155,0.002640787878711,37.6912738369529
14.5,-1.8264183830154,-1.07540784901111,0.346309222292035,0.002756628106831,39.643546925244
14.6,-1.90669576076617,-1.05306324880849,0.346300873223013,0.002764977175853,39.5474922410799
14.7,-1.97610989406019,-1.05022319121122,0.346237750434606,0.00282809996426,41.6495365695453
14.8,-2.03158875809971,-1.04024663348253,0.34620959207534,0.002856258323526,39.5574565209871
14.9,-2.06025379857195,-0.94327609495119,0.346192152778521,0.002873697620345,41.5363011832614
15,-2.06756973342466,-0.849736972866304,0.34608881899096,0.002977031407906,40.0013995609858
15.1,-2.06126851672667,-0.762258248337921,0.346054357152178,0.003011493246688,36.3196177053539
15.2,-2.05295644313516,-0.602103472102423,0.34605846457667,0.003007385822196,37.7299737933762
15.3,-2.0262131301784,-0.42847223903437,0.34611687352189,0.002948976876976,40.3752458872964
15.4,-1.97830435569775,-0.242287565029212,0.346207413095849,0.002858437303017,43.7311923988229
15.5,-1.90765116523182,0.05691285913883,0.346261817818256,0.00280403258061,38.6318272751004
15.6,-1.81540957005149,0.250404616648723,0.346271625575641,0.002794224823225,37.69302711839
15.7,-1.70837312081216,0.542994093784654,0.346306268066976,0.00275958233189,40.6224501610905
15.8,-1.58634456519728,0.848382273910811,0.346395186509678,0.002670663889188,41.0420541369931
15.9,-1.44673518494183,1.16476916218734,0.34651504701335,0.002550803385516,37.1924886808302
16,-1.2764783294272,1.55730717615302,0.346647070936739,0.002418779462127,37.6050902084905
16.1,-1.10560033413849,1.86128458978506,0.346765504289489,0.002300346109376,39.9440274476829
16.2,-0.91260875135815,2.25546388871396,0.34693981357322,0.002126036825646,36.1268279051093
16.3,-0.706915377505832,2.60723515135215,0.347120239435381,0.001945610963485,36.09464780706
