time,hat{D_{u}},hat{D_{v}},hat{D_{w}},hat{D_{q}},hat{D_{r}},x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
29.5,-4.42459515767462,-2.91367819766752,-1.31432674081017,-5.27728221115119,0.272300836073122,-9.22896806203331,-3.76052050648571,-12.2057951272289,0.008171555355925,-0.008549735316019,-0.012348282121311,-20.0273133115255,21.2722512215043,-7.92878716848966
29.6,-4.00790430078819,-2.94693702004428,-1.36545200480638,-5.49841767651477,0.64545868409707,-9.28519703799357,-3.62195815020419,-12.2303733092041,0.008214265453034,-0.007199384372945,-0.012548194526401,22.9561508394273,-26.3196861137684,-20.2427074171407
29.7,-3.9077702596245,-2.94846620761808,-1.39017146500615,-5.70413486745853,0.95875559712187,-9.33936681241197,-3.48244210084093,-12.2551738751852,0.008108568260584,-0.006334033873318,-0.013016773346714,41.0398129060326,12.2675450303842,-23.2401788082196
29.8,-3.59222936521381,-2.95022370113583,-1.40260560252577,-5.92392873214734,1.36893371263118,-9.39146491836077,-3.34187168160137,-12.2801916283183,0.007731124235608,-0.005759470177487,-0.013064186120208,-7.23978829492718,8.77253603385937,-31.5101830116806
29.9,-3.16801497368481,-2.93160172054498,-1.39556132314843,-5.78252035165517,1.66705060245847,-9.44144609086414,-3.20032405364918,-12.3053613807664,0.007143230083837,-0.005488289106556,-0.012144854900894,3.02632504729893,25.0377352812359,9.03872442004824
30,-2.71832282713232,-2.88161258175311,-1.40296089675724,-6.08545860074696,2.09818327411688,-9.48897834960084,-3.05844610054055,-12.3305149650717,0.007041994400599,-0.004980470419288,-0.011532065343096,18.1804024713355,25.6409274580353,-6.44362972661532
30.1,-2.46691779815376,-2.84211803947333,-1.38678586852942,-5.9139562325368,2.48910720820549,-9.53428793191174,-2.91554397777995,-12.3557825654977,0.006644609155869,-0.004282713386559,-0.010482707196681,46.1298294516724,1.89259774254657,-27.7085208463204
30.2,-2.23016201413841,-2.76908055184346,-1.34861368200264,-5.83211917747639,2.51977004192682,-9.5771950215723,-2.77220126222175,-12.3810555483657,0.006529889948222,-0.003893985646627,-0.010498723124676,44.4747334615108,37.4866886841216,-11.2161763765654
30.3,-1.9215299758759,-2.67383154003079,-1.31417049637295,-5.50253998221053,2.56623228012056,-9.61784804999678,-2.6282324722371,-12.406348827323,0.00644062288922,-0.003729154487193,-0.010117169690622,17.2769113454667,21.7778192061294,-20.2889015239331
30.4,-1.5166164421152,-2.57710363125419,-1.28036060787385,-5.5876965280493,2.60707133992434,-9.65631608407243,-2.48356190340907,-12.4316492438167,0.006253305576479,-0.003259810802929,-0.009504080151093,14.0155599497866,29.700323438259,-26.8689721225095
30.5,-1.28560117447762,-2.46703504986052,-1.22208738958291,-5.21447700089861,2.62002291683321,-9.69266974337631,-2.33786604601193,-12.4570490810397,0.005590907265941,-0.002389939301178,-0.008799739397674,7.46118179524331,28.6880199295943,2.39697453971739
30.6,-0.846397787385106,-2.33789048175767,-1.14605011533284,-4.76960788011095,2.64083930173001,-9.72685374086638,-2.19138262994861,-12.4825515667636,0.004658647076748,-0.001142736706062,-0.006972268013447,15.185314327531,43.9799273991539,-35.1869363419064
30.7,-0.724510176176143,-2.18805707179784,-1.05920040402581,-4.30961288359388,2.33693056804186,-9.75874557227672,-2.04421006260445,-12.5081762108412,0.003536602555376,0.000252850375043,-0.005476875300588,-0.725821332937168,18.7448445692323,-38.1407135079528
30.8,-0.404489169553305,-2.03140561065411,-0.969387118017137,-3.87936685341208,2.1665617455299,-9.78814677129057,-1.89716368294657,-12.5337987870647,0.003032538986352,0.001293300703648,-0.003651599397632,27.4098397593055,32.0670441176256,1.33213702547001
30.9,-0.203612688446517,-1.85978220250138,-0.87669331008642,-3.47917140428971,1.80476466610077,-9.8150963578966,-1.75017838289822,-12.5593895514641,0.003041078776654,0.001888045373803,-0.002130303588577,2.30922201600122,35.5524426788564,-5.37833692922237
31,0.053704312711264,-1.68575072326715,-0.770397376729613,-2.8616278424146,1.57045974012888,-9.83969002353166,-1.60283711079046,-12.5849732568596,0.00309722792597,0.002592052900238,-0.000881777298151,6.32872230681846,47.0476000561597,-4.79817232665098
31.1,0.300274252131305,-1.49673983453226,-0.666868503455781,-2.2986724697514,0.840022079021928,-9.86202439873486,-1.45507891066237,-12.6105438828575,0.003090862538917,0.003016924177259,0.00020069285774,19.5989852555248,12.8681316696568,24.0132104239154
31.2,0.466458793490884,-1.29863117359107,-0.561640145175091,-1.74379540414319,0.454955773043142,-9.88209734463256,-1.30723961642245,-12.6360231392322,0.003328676746812,0.003240438508393,0.001356206344608,39.2247360984387,22.9258228632878,-28.0130708977456
31.3,0.4196615185263,-1.0968969912754,-0.437874458318372,-1.24450225153912,0.055679142544101,-9.8999680764228,-1.15897347960639,-12.6614610830394,0.003423288865606,0.003192262981054,0.002440853294702,28.9924411807535,-5.70772391041767,-41.4579177499507
31.4,0.798968572641006,-0.881961400253912,-0.318128914996352,-0.632942672685825,-0.377706041069277,-9.91562629974054,-1.01061696178478,-12.6867285801444,0.003694272355288,0.00140366882701,0.003336153233278,1.14437828538359,46.2207654676001,2.92362456533457
31.5,0.939749311922754,-0.670229552958497,-0.194821919088013,0.075911802238943,-1.09686737349172,-9.92904928518239,-0.862418399222244,-12.7116416409879,0.004385348348166,-0.000887230933955,0.002363974925121,13.4125991349233,22.0566786108546,25.1740026979699
31.6,1.06578943000169,-0.450833235093629,-0.067454481513539,0.844415195297846,-1.55959804037154,-9.94039799525506,-0.714577956885626,-12.7361030743836,0.005668076196516,-0.003807405958882,-0.000436974199997,7.15527209772734,-9.16522211582626,4.10373438575805
31.7,1.20808499346498,-0.24042428665944,0.054246108887941,1.49872480696572,-1.97289474253771,-9.94995342509756,-0.566272900820534,-12.7602216544322,0.00667706776863,-0.006175287686957,-0.003782027669908,-4.99494390974764,31.8073433750259,-2.09966413731459
31.8,1.43676632445888,-0.023348572280455,0.182132180337207,1.9576463270738,-2.62890407888674,-9.95788339411773,-0.417305676020861,-12.784190942083,0.007167486313164,-0.005395573614043,-0.006421647487976,-6.65921205085353,18.593862338011,9.75251445619845
31.9,1.49808994827778,0.189807379797367,0.311240051824552,2.56022226682982,-3.18387216722936,-9.96409364178552,-0.268111254988943,-12.8082746893244,0.007520200031385,-0.003440713322914,-0.007731098736371,16.4521885723063,36.2778781665198,17.037687365174
32,1.58772242131522,0.402333031710137,0.436559787485106,3.0236069575442,-3.3461999426582,-9.96839744144388,-0.117786507801694,-12.8328116689291,0.006778220110237,-0.001566469512186,-0.006975605180295,12.3801373237104,34.3939240559446,1.52272622091557
32.1,1.71287648810998,0.627645178361172,0.558804437697031,3.46741063275719,-3.83419176901372,-9.9704668512363,0.03295785931151,-12.8576987543548,0.005635008968408,-0.000683297422494,-0.006265018724889,-10.4288383616413,-0.424737313179023,-4.58884084259478
32.2,1.70365598253694,0.830197924148894,0.676027712689601,3.86934359782463,-3.88982076153378,-9.97011114363212,0.183108540048131,-12.8826562507596,0.005096290319064,-0.00067051717714,-0.005275357533222,4.55679867215667,27.0133248973536,3.74389518007855
32.3,1.67495549232718,1.02989056350956,0.775185274350821,4.55605294183359,-4.12161396091627,-9.96730646030939,0.332842090228533,-12.907612336695,0.004956477142094,0.000319644499564,-0.00352557135527,3.19606571882012,25.0400850586547,36.140802961046
32.4,1.76599089622352,1.22771216965732,0.87568177390478,4.98968784351032,-4.1711018735568,-9.96196421063365,0.482565902202895,-12.9327135240311,0.004740587232009,0.001977893973697,-0.0024131048858,17.6185631322875,37.7352940605195,3.23822734300298
32.5,2.13733854703424,1.41305098865065,0.963431670978734,5.08826820871865,-4.43568275332403,-9.95409793116431,0.632408948141349,-12.958021690574,0.004266258202138,0.003153845072387,-0.002624031469593,8.61192178912642,17.6086530206438,-9.98771443009425
32.6,2.36356774637711,1.58130919009656,1.04640076116123,5.36661498421155,-4.32632829345333,-9.94386951500828,0.782438858317297,-12.9834860712474,0.003447022201201,0.003353678144438,-0.002552917036008,15.7678403489827,27.0087832940248,-14.1179162701262
