time,hat{D_{u}},hat{D_{q}},hat{D_{r}},x,y,z,l_{d}-l,beta,alpha,tau_{u},tau_{q},tau_{r}
2.7,-10.1953361222025,-6.2859364784407,-7.2586725576856,-2.64576729489726,12.6810565406711,-1.10338659941441,7.74384231008558,-0.426416387864898,-0.243693837466765,100,-66.3815677165985,77.024781703949
2.8,-8.63491825342769,-5.39683014977871,-6.52369075649705,-2.79745365993829,12.6823070025845,-1.09112660125004,8.00670339773065,-0.411435667073852,-0.270791454022746,100,36.8235886096954,84.9236607551575
2.9,-8.27259579325548,-4.4676681847669,-5.64303910830802,-2.94711408997234,12.677198359482,-1.07859495009976,8.267868253987,-0.396848812989579,-0.299774906965268,100,77.7927756309509,52.9306471347809
3,-7.20043375819044,-3.55558534026523,-5.06229209765195,-3.09089253711324,12.6650606147433,-1.06600205510884,8.52373380724324,-0.383640219322191,-0.331630104147807,100,11.9913890957832,62.6711249351501
3.1,-5.10080188600623,-2.61289626963671,-4.80314987765711,-3.22349022012811,12.6573916654596,-1.05022789009512,8.77571798197526,-0.371055361569998,-0.364553583547668,100,-17.4100995063782,42.4809694290161
3.2,-2.03157837342903,-1.69004915371295,-3.65137725727812,-3.34020482965139,12.6777015941365,-1.03086239534267,9.02862708567185,-0.360612060151425,-0.401366635140129,100,47.7518379688263,61.3614022731781
3.3,-0.222921626043861,-0.761769553623435,-2.72095652991769,-3.43938747062311,12.7073618183802,-1.00942736310073,9.27282399699948,-0.35165800379708,-0.441260893744256,100,36.997002363205,79.4866561889648
3.4,-1.83500378458863,0.12246474243532,-2.32671124329445,-3.51865371687186,12.7338193312494,-0.990238586921537,9.49930834688206,-0.342974808810945,-0.477630764880814,96.1035072803497,58.9123487472534,-23.0454951524734
3.5,-2.89540016694533,0.996314495896639,-1.6135022860104,-3.57457270055437,12.7593681309446,-0.974503403844237,9.70544833162497,-0.334155255256251,-0.509987682214456,100,49.6004402637482,69.6959555149078
3.6,-2.14338260972486,1.81065856154983,-0.950164277781538,-3.60355097979166,12.7838076161629,-0.96351133106063,9.88755651528739,-0.325309253723884,-0.537938307101787,100,53.371649980545,38.2460176944733
3.7,-1.83790045120666,2.55506618701193,-0.687748419578183,-3.59927723891239,12.7837925387322,-0.961909551987798,10.0293108353916,-0.316105861759726,-0.555748794730116,100,65.9308075904846,-20.6456288695335
3.8,-1.541398259673,3.29562589807939,-0.286281154085988,-3.55861306502768,12.7615638588978,-0.971540123425686,10.1280579547636,-0.305009174055522,-0.556264732718829,100,70.4658031463623,-22.097472846508
3.9,-0.815815638948192,3.93482931100753,-0.119437401947041,-3.4832299373449,12.7417165456525,-0.992543340293354,10.1946144421855,-0.291658985379106,-0.539687851994035,65.9650921821594,68.3568716049194,-64.7062003612518
4,-0.046555828407278,4.51073293286214,0.304828313882144,-3.37282142616699,12.7236451699603,-1.02219836340332,10.2298172006555,-0.276707145010684,-0.509541980681552,79.8468232154846,72.0439612865448,-59.4332814216614
4.1,0.46806713001626,5.02384400102464,0.474715617304671,-3.22874937304407,12.7035871610013,-1.06080444032164,10.2333086264874,-0.260610840564049,-0.468552269651678,67.2414243221283,74.3869662284851,-62.3470783233643
4.2,0.878769046583608,5.46442019984465,0.982372731563731,-3.05359276418479,12.6989974205415,-1.10591573405453,10.2156280255592,-0.244361229830572,-0.425076685398129,95.1373398303986,47.5550055503845,-41.9941067695618
4.3,1.52415488308806,5.82054956647671,1.60051591404896,-2.84568887344762,12.7147744983083,-1.15589030138773,10.1790018924738,-0.22882129414939,-0.385739934065285,45.4167455434799,87.584775686264,-63.8789236545563
4.4,1.92059469806054,6.10028870968842,1.89609568299917,-2.60915458606035,12.722134819517,-1.21067081253585,10.1154181808893,-0.213826424016138,-0.350293369840874,19.5011287927628,80.1774322986603,-31.3265323638916
4.5,2.87702206144213,6.32727380845827,2.0145668365797,-2.34946318427863,12.7140880165804,-1.27345836209303,10.0249441979095,-0.198827688198611,-0.316739377589511,100,65.5410170555115,-42.1057164669037
